trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,AmandaCrosby1,0.5,key,green,red,incongruent,upside_down,r,1,767.0
2,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,745.0
3,AmandaCrosby1,0.5,key,green,orange,incongruent,upside_down,o,1,909.0
4,AmandaCrosby1,0.5,key,yellow,green,incongruent,upright,g,1,750.0
5,AmandaCrosby1,0.5,key,yellow,blue,incongruent,upright,b,1,772.0
6,AmandaCrosby1,0.5,key,orange,red,incongruent,upright,r,1,927.0
7,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,724.0
8,AmandaCrosby1,0.5,key,red,yellow,incongruent,upside_down,y,1,872.0
9,AmandaCrosby1,0.5,key,blue,blue,congruent,upright,b,1,597.0
10,AmandaCrosby1,0.5,key,red,red,congruent,upside_down,r,1,689.0
11,AmandaCrosby1,0.5,key,green,yellow,incongruent,upright,y,1,962.0
12,AmandaCrosby1,0.5,key,blue,orange,incongruent,upright,o,1,877.0
13,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,575.0
14,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,809.0
15,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,1073.0
16,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,525.0
17,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,827.0
18,AmandaCrosby1,0.5,key,orange,orange,congruent,upright,o,1,683.0
19,AmandaCrosby1,0.5,key,blue,orange,incongruent,upright,o,1,578.0
20,AmandaCrosby1,0.5,key,red,red,congruent,upright,r,1,585.0
21,AmandaCrosby1,0.5,key,orange,orange,congruent,upright,o,1,655.0
22,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,594.0
23,AmandaCrosby1,0.5,key,orange,yellow,incongruent,upright,y,1,798.0
24,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,515.0
25,AmandaCrosby1,0.5,key,green,yellow,incongruent,upright,y,1,615.0
26,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,451.0
27,AmandaCrosby1,0.5,key,blue,blue,congruent,upright,b,1,594.0
28,AmandaCrosby1,0.5,key,yellow,orange,incongruent,upright,o,1,765.0
29,AmandaCrosby1,0.5,key,red,red,congruent,upright,r,1,515.0
30,AmandaCrosby1,0.5,key,red,red,congruent,upside_down,r,1,493.0
31,AmandaCrosby1,0.5,key,blue,orange,incongruent,upside_down,o,1,851.0
32,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,518.0
33,AmandaCrosby1,0.5,key,orange,green,incongruent,upright,g,1,779.0
34,AmandaCrosby1,0.5,key,green,blue,incongruent,upright,b,1,773.0
35,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upside_down,y,1,625.0
36,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,648.0
37,AmandaCrosby1,0.5,key,blue,green,incongruent,upside_down,g,1,821.0
38,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,552.0
39,AmandaCrosby1,0.5,key,yellow,green,incongruent,upside_down,g,1,720.0
40,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,756.0
41,AmandaCrosby1,0.5,key,yellow,blue,incongruent,upright,b,1,2471.0
42,AmandaCrosby1,0.5,key,blue,red,incongruent,upside_down,r,1,937.0
43,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,908.0
44,AmandaCrosby1,0.5,key,blue,red,incongruent,upside_down,r,1,679.0
45,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,813.0
46,AmandaCrosby1,0.5,key,red,red,congruent,upside_down,r,1,672.0
47,AmandaCrosby1,0.5,key,yellow,green,incongruent,upside_down,g,1,834.0
48,AmandaCrosby1,0.5,key,blue,blue,congruent,upside_down,b,1,615.0
49,AmandaCrosby1,0.5,key,orange,orange,congruent,upright,o,1,698.0
50,AmandaCrosby1,0.5,key,green,orange,incongruent,upside_down,o,1,738.0
51,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upside_down,y,1,801.0
52,AmandaCrosby1,0.5,key,blue,green,incongruent,upside_down,g,1,1991.0
53,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,793.0
54,AmandaCrosby1,0.5,key,green,orange,incongruent,upside_down,g,0,882.0
55,AmandaCrosby1,0.5,key,yellow,orange,incongruent,upside_down,o,1,753.0
56,AmandaCrosby1,0.5,key,orange,orange,congruent,upright,o,1,549.0
57,AmandaCrosby1,0.5,key,yellow,green,incongruent,upside_down,g,1,939.0
58,AmandaCrosby1,0.5,key,blue,blue,congruent,upside_down,b,1,768.0
59,AmandaCrosby1,0.5,key,blue,blue,congruent,upright,b,1,554.0
60,AmandaCrosby1,0.5,key,red,yellow,incongruent,upside_down,y,1,745.0
61,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,664.0
62,AmandaCrosby1,0.5,key,green,yellow,incongruent,upright,y,1,916.0
63,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,581.0
64,AmandaCrosby1,0.5,key,red,green,incongruent,upside_down,g,1,757.0
65,AmandaCrosby1,0.5,key,yellow,green,incongruent,upright,g,1,532.0
66,AmandaCrosby1,0.5,key,blue,blue,congruent,upright,b,1,628.0
67,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,735.0
68,AmandaCrosby1,0.5,key,blue,green,incongruent,upright,b,0,654.0
69,AmandaCrosby1,0.5,key,orange,yellow,incongruent,upside_down,y,1,1064.0
70,AmandaCrosby1,0.5,key,blue,red,incongruent,upright,r,1,741.0
71,AmandaCrosby1,0.5,key,red,orange,incongruent,upside_down,o,1,716.0
72,AmandaCrosby1,0.5,key,green,orange,incongruent,upright,o,1,588.0
73,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,469.0
74,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,742.0
75,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,833.0
76,AmandaCrosby1,0.5,key,red,red,congruent,upside_down,r,1,747.0
77,AmandaCrosby1,0.5,key,green,orange,incongruent,upside_down,o,1,897.0
78,AmandaCrosby1,0.5,key,orange,red,incongruent,upright,r,1,816.0
79,AmandaCrosby1,0.5,key,blue,blue,congruent,upright,b,1,625.0
80,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,744.0
81,AmandaCrosby1,0.5,key,red,red,congruent,upside_down,r,1,538.0
82,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,750.0
83,AmandaCrosby1,0.5,key,red,red,congruent,upright,r,1,570.0
84,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,947.0
85,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,662.0
86,AmandaCrosby1,0.5,key,red,green,incongruent,upright,g,1,612.0
87,AmandaCrosby1,0.5,key,red,yellow,incongruent,upright,y,1,877.0
88,AmandaCrosby1,0.5,key,orange,orange,congruent,upright,o,1,784.0
89,AmandaCrosby1,0.5,key,blue,blue,congruent,upright,b,1,764.0
90,AmandaCrosby1,0.5,key,blue,blue,congruent,upside_down,b,1,571.0
91,AmandaCrosby1,0.5,key,yellow,green,incongruent,upside_down,g,1,868.0
92,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,525.0
93,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,419.0
94,AmandaCrosby1,0.5,key,yellow,green,incongruent,upside_down,g,1,456.0
95,AmandaCrosby1,0.5,key,green,red,incongruent,upside_down,r,1,989.0
96,AmandaCrosby1,0.5,key,green,green,congruent,upside_down,g,1,507.0
97,AmandaCrosby1,0.5,key,green,red,incongruent,upside_down,r,1,580.0
98,AmandaCrosby1,0.5,key,blue,red,incongruent,upside_down,r,1,479.0
99,AmandaCrosby1,0.5,key,orange,blue,incongruent,upright,b,1,560.0
100,AmandaCrosby1,0.5,key,yellow,red,incongruent,upright,r,1,548.0
101,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,741.0
102,AmandaCrosby1,0.5,key,yellow,orange,incongruent,upright,o,1,699.0
103,AmandaCrosby1,0.5,key,yellow,orange,incongruent,upside_down,o,1,596.0
104,AmandaCrosby1,0.5,key,blue,yellow,incongruent,upright,y,1,708.0
105,AmandaCrosby1,0.5,key,blue,yellow,incongruent,upside_down,y,1,522.0
106,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,548.0
107,AmandaCrosby1,0.5,key,green,red,incongruent,upright,r,1,828.0
108,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,564.0
109,AmandaCrosby1,0.5,key,orange,orange,congruent,upside_down,o,1,555.0
110,AmandaCrosby1,0.5,key,orange,yellow,incongruent,upside_down,y,1,1041.0
111,AmandaCrosby1,0.5,key,blue,yellow,incongruent,upright,y,1,546.0
112,AmandaCrosby1,0.5,key,green,green,congruent,upright,g,1,807.0
113,AmandaCrosby1,0.5,key,blue,orange,incongruent,upside_down,o,1,719.0
114,AmandaCrosby1,0.5,key,orange,red,incongruent,upside_down,r,1,617.0
115,AmandaCrosby1,0.5,key,blue,green,incongruent,upside_down,g,1,993.0
116,AmandaCrosby1,0.5,key,green,blue,incongruent,upside_down,b,1,868.0
117,AmandaCrosby1,0.5,key,green,blue,incongruent,upright,b,1,625.0
118,AmandaCrosby1,0.5,key,red,blue,incongruent,upside_down,b,1,661.0
119,AmandaCrosby1,0.5,key,yellow,yellow,congruent,upright,y,1,614.0
120,AmandaCrosby1,0.5,key,orange,green,incongruent,upright,g,1,704.0
