trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,Anel-Simental,0.25,key,blue,green,incongruent,upright,g,1,1070.0
2,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,656.0
3,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,756.0
4,Anel-Simental,0.25,key,green,red,incongruent,upside_down,r,1,823.0
5,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,562.0
6,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,708.0
7,Anel-Simental,0.25,key,red,green,incongruent,upright,g,1,705.0
8,Anel-Simental,0.25,key,orange,yellow,incongruent,upside_down,y,1,1223.0
9,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,897.0
10,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,786.0
11,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,647.0
12,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,693.0
13,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,653.0
14,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,777.0
15,Anel-Simental,0.25,key,green,green,congruent,upside_down,g,1,778.0
16,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,639.0
17,Anel-Simental,0.25,key,green,orange,incongruent,upright,o,1,892.0
18,Anel-Simental,0.25,key,red,orange,incongruent,upright,o,1,829.0
19,Anel-Simental,0.25,key,green,orange,incongruent,upside_down,o,1,802.0
20,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,694.0
21,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,614.0
22,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,557.0
23,Anel-Simental,0.25,key,green,green,congruent,upside_down,g,1,608.0
24,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,684.0
25,Anel-Simental,0.25,key,green,green,congruent,upside_down,g,1,707.0
26,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,661.0
27,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,759.0
28,Anel-Simental,0.25,key,orange,red,incongruent,upright,r,1,916.0
29,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,788.0
30,Anel-Simental,0.25,key,red,green,incongruent,upright,g,1,688.0
31,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,620.0
32,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,769.0
33,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,667.0
34,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,539.0
35,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,625.0
36,Anel-Simental,0.25,key,orange,blue,incongruent,upside_down,b,1,904.0
37,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,735.0
38,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,762.0
39,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,680.0
40,Anel-Simental,0.25,key,red,green,incongruent,upside_down,g,1,742.0
41,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,614.0
42,Anel-Simental,0.25,key,green,orange,incongruent,upright,o,1,1013.0
43,Anel-Simental,0.25,key,green,yellow,incongruent,upright,y,1,908.0
44,Anel-Simental,0.25,key,yellow,blue,incongruent,upright,b,1,736.0
45,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,849.0
46,Anel-Simental,0.25,key,green,green,congruent,upside_down,g,1,698.0
47,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,710.0
48,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,917.0
49,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,607.0
50,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,516.0
51,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,734.0
52,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,851.0
53,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,587.0
54,Anel-Simental,0.25,key,yellow,red,incongruent,upright,r,1,691.0
55,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,674.0
56,Anel-Simental,0.25,key,green,blue,incongruent,upright,b,1,908.0
57,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,580.0
58,Anel-Simental,0.25,key,orange,yellow,incongruent,upside_down,y,1,852.0
59,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,921.0
60,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,586.0
61,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,568.0
62,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,639.0
63,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,677.0
64,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,535.0
65,Anel-Simental,0.25,key,green,green,congruent,upside_down,g,1,711.0
66,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,692.0
67,Anel-Simental,0.25,key,red,yellow,incongruent,upright,y,1,788.0
68,Anel-Simental,0.25,key,blue,red,incongruent,upside_down,r,1,870.0
69,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,743.0
70,Anel-Simental,0.25,key,green,red,incongruent,upside_down,r,1,869.0
71,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,839.0
72,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,771.0
73,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,773.0
74,Anel-Simental,0.25,key,red,yellow,incongruent,upright,y,1,786.0
75,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,766.0
76,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,693.0
77,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,637.0
78,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,601.0
79,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,637.0
80,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,823.0
81,Anel-Simental,0.25,key,orange,orange,congruent,upright,o,1,722.0
82,Anel-Simental,0.25,key,green,orange,incongruent,upside_down,o,1,745.0
83,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,690.0
84,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,679.0
85,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,597.0
86,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,454.0
87,Anel-Simental,0.25,key,orange,red,incongruent,upside_down,r,1,440.0
88,Anel-Simental,0.25,key,green,green,congruent,upside_down,g,1,847.0
89,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,579.0
90,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,700.0
91,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,685.0
92,Anel-Simental,0.25,key,red,blue,incongruent,upside_down,b,1,613.0
93,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,610.0
94,Anel-Simental,0.25,key,blue,orange,incongruent,upside_down,o,1,717.0
95,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,719.0
96,Anel-Simental,0.25,key,blue,red,incongruent,upright,r,1,762.0
97,Anel-Simental,0.25,key,orange,orange,congruent,upside_down,o,1,753.0
98,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,621.0
99,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,658.0
100,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,577.0
101,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,670.0
102,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,683.0
103,Anel-Simental,0.25,key,orange,red,incongruent,upright,r,1,452.0
104,Anel-Simental,0.25,key,green,green,congruent,upright,g,1,773.0
105,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,686.0
106,Anel-Simental,0.25,key,yellow,red,incongruent,upright,r,1,688.0
107,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,754.0
108,Anel-Simental,0.25,key,yellow,orange,incongruent,upright,o,1,786.0
109,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,1027.0
110,Anel-Simental,0.25,key,red,red,congruent,upright,r,1,529.0
111,Anel-Simental,0.25,key,yellow,green,incongruent,upside_down,g,1,958.0
112,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,639.0
113,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,676.0
114,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,594.0
115,Anel-Simental,0.25,key,yellow,yellow,congruent,upright,y,1,580.0
116,Anel-Simental,0.25,key,yellow,yellow,congruent,upside_down,y,1,622.0
117,Anel-Simental,0.25,key,blue,blue,congruent,upside_down,b,1,679.0
118,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,624.0
119,Anel-Simental,0.25,key,red,red,congruent,upside_down,r,1,577.0
120,Anel-Simental,0.25,key,blue,blue,congruent,upright,b,1,686.0
