trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,sillyteelypixie,0.25,key,green,green,congruent,upside_down,g,1,991.0
2,sillyteelypixie,0.25,key,orange,orange,congruent,upside_down,o,1,794.0
3,sillyteelypixie,0.25,key,orange,orange,congruent,upright,o,1,666.0
4,sillyteelypixie,0.25,key,green,blue,incongruent,upside_down,b,1,958.0
5,sillyteelypixie,0.25,key,yellow,yellow,congruent,upside_down,y,1,727.0
6,sillyteelypixie,0.25,key,yellow,orange,incongruent,upright,o,1,935.0
7,sillyteelypixie,0.25,key,orange,orange,congruent,upright,o,1,787.0
8,sillyteelypixie,0.25,key,red,red,congruent,upright,r,1,673.0
9,sillyteelypixie,0.25,key,orange,orange,congruent,upright,o,1,739.0
10,sillyteelypixie,0.25,key,yellow,yellow,congruent,upside_down,y,1,936.0
11,sillyteelypixie,0.25,key,orange,orange,congruent,upside_down,o,1,806.0
12,sillyteelypixie,0.25,key,yellow,yellow,congruent,upside_down,y,1,936.0
13,sillyteelypixie,0.25,key,green,green,congruent,upright,g,1,752.0
14,sillyteelypixie,0.25,key,green,green,congruent,upside_down,g,1,723.0
15,sillyteelypixie,0.25,key,yellow,yellow,congruent,upright,y,1,752.0
16,sillyteelypixie,0.25,key,red,green,incongruent,upright,g,1,865.0
17,sillyteelypixie,0.25,key,green,red,incongruent,upright,r,1,865.0
18,sillyteelypixie,0.25,key,orange,orange,congruent,upright,o,1,827.0
19,sillyteelypixie,0.25,key,blue,blue,congruent,upright,b,1,724.0
20,sillyteelypixie,0.25,key,orange,orange,congruent,upright,o,1,949.0
21,sillyteelypixie,0.25,key,orange,orange,congruent,upright,o,1,673.0
22,sillyteelypixie,0.25,key,green,green,congruent,upright,g,1,777.0
23,sillyteelypixie,0.25,key,green,green,congruent,upside_down,g,1,762.0
24,sillyteelypixie,0.25,key,orange,orange,congruent,upside_down,o,1,789.0
25,sillyteelypixie,0.25,key,yellow,green,incongruent,upside_down,g,1,930.0
26,sillyteelypixie,0.25,key,red,red,congruent,upside_down,r,1,745.0
27,sillyteelypixie,0.25,key,red,red,congruent,upside_down,r,1,578.0
28,sillyteelypixie,0.25,key,orange,orange,congruent,upside_down,o,1,863.0
29,sillyteelypixie,0.25,key,red,red,congruent,upside_down,r,1,630.0
30,sillyteelypixie,0.25,key,red,yellow,incongruent,upright,y,1,953.0
31,sillyteelypixie,0.25,key,orange,red,incongruent,upside_down,r,1,754.0
32,sillyteelypixie,0.25,key,green,yellow,incongruent,upright,y,1,991.0
