trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,676.0
2,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,526.0
3,Fangge_Ping,0.25,key,orange,orange,congruent,upright,o,1,506.0
4,Fangge_Ping,0.25,key,yellow,green,incongruent,upright,g,1,842.0
5,Fangge_Ping,0.25,key,yellow,yellow,congruent,upright,y,1,730.0
6,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,868.0
7,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,694.0
8,Fangge_Ping,0.25,key,blue,orange,incongruent,upright,o,1,708.0
9,Fangge_Ping,0.25,key,red,red,congruent,upright,r,1,658.0
10,Fangge_Ping,0.25,key,green,green,congruent,upside_down,g,1,845.0
11,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,735.0
12,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,722.0
13,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,635.0
14,Fangge_Ping,0.25,key,orange,orange,congruent,upright,o,1,561.0
15,Fangge_Ping,0.25,key,red,red,congruent,upright,r,1,636.0
16,Fangge_Ping,0.25,key,green,orange,incongruent,upright,o,1,728.0
17,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,529.0
18,Fangge_Ping,0.25,key,green,green,congruent,upside_down,g,1,941.0
19,Fangge_Ping,0.25,key,blue,blue,congruent,upside_down,b,1,728.0
20,Fangge_Ping,0.25,key,red,red,congruent,upright,r,1,620.0
21,Fangge_Ping,0.25,key,blue,blue,congruent,upside_down,b,1,644.0
22,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,525.0
23,Fangge_Ping,0.25,key,red,red,congruent,upright,r,1,686.0
24,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,755.0
25,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,896.0
26,Fangge_Ping,0.25,key,orange,orange,congruent,upright,o,1,630.0
27,Fangge_Ping,0.25,key,red,blue,incongruent,upside_down,b,1,941.0
28,Fangge_Ping,0.25,key,green,blue,incongruent,upside_down,b,1,811.0
29,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,633.0
30,Fangge_Ping,0.25,key,green,blue,incongruent,upside_down,b,1,671.0
31,Fangge_Ping,0.25,key,blue,green,incongruent,upright,g,1,743.0
32,Fangge_Ping,0.25,key,red,red,congruent,upside_down,r,1,623.0
33,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,698.0
34,Fangge_Ping,0.25,key,red,red,congruent,upside_down,r,1,936.0
35,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,685.0
36,Fangge_Ping,0.25,key,orange,green,incongruent,upside_down,g,1,1456.0
37,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,747.0
38,Fangge_Ping,0.25,key,green,green,congruent,upright,g,1,1705.0
39,Fangge_Ping,0.25,key,blue,blue,congruent,upside_down,b,1,635.0
40,Fangge_Ping,0.25,key,blue,orange,incongruent,upright,o,1,874.0
41,Fangge_Ping,0.25,key,red,yellow,incongruent,upside_down,y,1,841.0
42,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,642.0
43,Fangge_Ping,0.25,key,green,green,congruent,upside_down,g,1,1295.0
44,Fangge_Ping,0.25,key,orange,yellow,incongruent,upright,y,1,986.0
45,Fangge_Ping,0.25,key,blue,green,incongruent,upright,g,1,733.0
46,Fangge_Ping,0.25,key,blue,blue,congruent,upside_down,b,1,542.0
47,Fangge_Ping,0.25,key,yellow,blue,incongruent,upside_down,b,1,705.0
48,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,574.0
49,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,647.0
50,Fangge_Ping,0.25,key,red,red,congruent,upright,r,1,843.0
51,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,674.0
52,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,1131.0
53,Fangge_Ping,0.25,key,orange,yellow,incongruent,upright,y,1,917.0
54,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,690.0
55,Fangge_Ping,0.25,key,red,red,congruent,upside_down,r,1,697.0
56,Fangge_Ping,0.25,key,green,green,congruent,upside_down,g,1,772.0
57,Fangge_Ping,0.25,key,yellow,yellow,congruent,upright,y,1,786.0
58,Fangge_Ping,0.25,key,yellow,yellow,congruent,upright,y,1,749.0
59,Fangge_Ping,0.25,key,green,green,congruent,upright,g,1,863.0
60,Fangge_Ping,0.25,key,yellow,yellow,congruent,upright,y,1,776.0
61,Fangge_Ping,0.25,key,orange,orange,congruent,upside_down,o,1,692.0
62,Fangge_Ping,0.25,key,blue,orange,incongruent,upside_down,o,1,616.0
63,Fangge_Ping,0.25,key,blue,yellow,incongruent,upright,y,1,810.0
64,Fangge_Ping,0.25,key,orange,orange,congruent,upright,o,1,558.0
65,Fangge_Ping,0.25,key,green,green,congruent,upside_down,g,1,1034.0
66,Fangge_Ping,0.25,key,orange,yellow,incongruent,upside_down,y,1,883.0
67,Fangge_Ping,0.25,key,yellow,blue,incongruent,upside_down,b,1,914.0
68,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,704.0
69,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,688.0
70,Fangge_Ping,0.25,key,red,red,congruent,upside_down,r,1,749.0
71,Fangge_Ping,0.25,key,red,red,congruent,upside_down,r,1,513.0
72,Fangge_Ping,0.25,key,yellow,yellow,congruent,upside_down,y,1,746.0
73,Fangge_Ping,0.25,key,blue,blue,congruent,upside_down,b,1,667.0
74,Fangge_Ping,0.25,key,red,red,congruent,upright,r,1,673.0
75,Fangge_Ping,0.25,key,blue,blue,congruent,upside_down,b,1,738.0
76,Fangge_Ping,0.25,key,blue,blue,congruent,upright,b,1,643.0
