trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,KOIYANG,0.5,key,yellow,green,incongruent,upside_down,NA,0,NA
2,KOIYANG,0.5,key,blue,orange,incongruent,upside_down,o,1,1339.0
3,KOIYANG,0.5,key,blue,red,incongruent,upside_down,r,1,1145.0
4,KOIYANG,0.5,key,red,yellow,incongruent,upright,y,1,1195.0
5,KOIYANG,0.5,key,green,green,congruent,upright,g,1,733.0
6,KOIYANG,0.5,key,yellow,green,incongruent,upright,g,1,857.0
7,KOIYANG,0.5,key,blue,blue,congruent,upright,b,1,987.0
8,KOIYANG,0.5,key,blue,green,incongruent,upright,g,1,940.0
9,KOIYANG,0.5,key,orange,orange,congruent,upright,o,1,732.0
10,KOIYANG,0.5,key,yellow,green,incongruent,upright,g,1,800.0
11,KOIYANG,0.5,key,blue,orange,incongruent,upside_down,o,1,1076.0
12,KOIYANG,0.5,key,yellow,yellow,congruent,upright,y,1,668.0
13,KOIYANG,0.5,key,orange,red,incongruent,upright,r,1,1303.0
14,KOIYANG,0.5,key,blue,red,incongruent,upside_down,r,1,769.0
15,KOIYANG,0.5,key,green,green,congruent,upright,g,1,667.0
16,KOIYANG,0.5,key,green,blue,incongruent,upright,b,1,726.0
17,KOIYANG,0.5,key,red,orange,incongruent,upright,o,1,864.0
18,KOIYANG,0.5,key,blue,blue,congruent,upside_down,b,1,686.0
19,KOIYANG,0.5,key,yellow,yellow,congruent,upright,y,1,696.0
20,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,842.0
21,KOIYANG,0.5,key,green,blue,incongruent,upright,b,1,841.0
22,KOIYANG,0.5,key,yellow,yellow,congruent,upside_down,y,1,753.0
23,KOIYANG,0.5,key,blue,orange,incongruent,upside_down,o,1,904.0
24,KOIYANG,0.5,key,blue,orange,incongruent,upside_down,o,1,829.0
25,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,757.0
26,KOIYANG,0.5,key,blue,orange,incongruent,upright,o,1,746.0
27,KOIYANG,0.5,key,green,yellow,incongruent,upside_down,y,1,900.0
28,KOIYANG,0.5,key,blue,blue,congruent,upside_down,b,1,761.0
29,KOIYANG,0.5,key,blue,green,incongruent,upside_down,g,1,808.0
30,KOIYANG,0.5,key,blue,blue,congruent,upright,b,1,685.0
31,KOIYANG,0.5,key,red,red,congruent,upright,r,1,704.0
32,KOIYANG,0.5,key,green,red,incongruent,upright,r,1,922.0
33,KOIYANG,0.5,key,yellow,yellow,congruent,upside_down,y,1,659.0
34,KOIYANG,0.5,key,green,green,congruent,upside_down,g,1,712.0
35,KOIYANG,0.5,key,green,green,congruent,upside_down,g,1,667.0
36,KOIYANG,0.5,key,red,yellow,incongruent,upright,y,1,904.0
37,KOIYANG,0.5,key,yellow,orange,incongruent,upright,o,1,833.0
38,KOIYANG,0.5,key,blue,blue,congruent,upright,b,1,657.0
39,KOIYANG,0.5,key,green,blue,incongruent,upside_down,b,1,734.0
40,KOIYANG,0.5,key,green,red,incongruent,upright,r,1,944.0
41,KOIYANG,0.5,key,red,green,incongruent,upside_down,g,1,922.0
42,KOIYANG,0.5,key,blue,blue,congruent,upside_down,b,1,782.0
43,KOIYANG,0.5,key,yellow,yellow,congruent,upside_down,y,1,803.0
44,KOIYANG,0.5,key,red,yellow,incongruent,upside_down,y,1,707.0
45,KOIYANG,0.5,key,red,blue,incongruent,upright,b,1,925.0
46,KOIYANG,0.5,key,green,green,congruent,upside_down,g,1,765.0
47,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,866.0
48,KOIYANG,0.5,key,green,green,congruent,upright,g,1,643.0
49,KOIYANG,0.5,key,orange,green,incongruent,upright,g,1,1228.0
50,KOIYANG,0.5,key,blue,blue,congruent,upside_down,b,1,768.0
51,KOIYANG,0.5,key,yellow,yellow,congruent,upside_down,y,1,761.0
52,KOIYANG,0.5,key,orange,orange,congruent,upright,o,1,779.0
53,KOIYANG,0.5,key,blue,blue,congruent,upright,b,1,644.0
54,KOIYANG,0.5,key,red,orange,incongruent,upright,o,1,966.0
55,KOIYANG,0.5,key,yellow,red,incongruent,upright,r,1,872.0
56,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,804.0
57,KOIYANG,0.5,key,green,green,congruent,upright,g,1,611.0
58,KOIYANG,0.5,key,yellow,yellow,congruent,upright,y,1,621.0
59,KOIYANG,0.5,key,green,green,congruent,upside_down,g,1,666.0
60,KOIYANG,0.5,key,red,red,congruent,upside_down,r,1,776.0
61,KOIYANG,0.5,key,green,green,congruent,upright,g,1,672.0
62,KOIYANG,0.5,key,green,green,congruent,upright,g,1,652.0
63,KOIYANG,0.5,key,orange,blue,incongruent,upright,b,1,964.0
64,KOIYANG,0.5,key,blue,blue,congruent,upright,b,1,783.0
65,KOIYANG,0.5,key,yellow,green,incongruent,upside_down,g,1,972.0
66,KOIYANG,0.5,key,orange,yellow,incongruent,upright,y,1,962.0
67,KOIYANG,0.5,key,orange,blue,incongruent,upside_down,b,1,1153.0
68,KOIYANG,0.5,key,orange,red,incongruent,upside_down,r,1,1158.0
69,KOIYANG,0.5,key,orange,red,incongruent,upside_down,r,1,790.0
70,KOIYANG,0.5,key,orange,yellow,incongruent,upright,y,1,1135.0
71,KOIYANG,0.5,key,blue,yellow,incongruent,upside_down,y,1,629.0
72,KOIYANG,0.5,key,green,green,congruent,upside_down,g,1,740.0
73,KOIYANG,0.5,key,blue,yellow,incongruent,upright,y,1,959.0
74,KOIYANG,0.5,key,green,green,congruent,upright,g,1,682.0
75,KOIYANG,0.5,key,blue,blue,congruent,upside_down,b,1,766.0
76,KOIYANG,0.5,key,green,green,congruent,upright,g,1,659.0
77,KOIYANG,0.5,key,green,green,congruent,upright,g,1,703.0
78,KOIYANG,0.5,key,red,red,congruent,upside_down,r,1,958.0
79,KOIYANG,0.5,key,yellow,orange,incongruent,upside_down,o,1,1082.0
80,KOIYANG,0.5,key,red,green,incongruent,upside_down,g,1,799.0
81,KOIYANG,0.5,key,yellow,red,incongruent,upside_down,r,1,1081.0
82,KOIYANG,0.5,key,blue,green,incongruent,upside_down,g,1,979.0
83,KOIYANG,0.5,key,green,green,congruent,upright,g,1,876.0
84,KOIYANG,0.5,key,red,red,congruent,upright,r,1,852.0
85,KOIYANG,0.5,key,red,yellow,incongruent,upside_down,y,1,891.0
86,KOIYANG,0.5,key,red,red,congruent,upright,r,1,834.0
87,KOIYANG,0.5,key,red,green,incongruent,upside_down,g,1,904.0
88,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,905.0
89,KOIYANG,0.5,key,red,red,congruent,upright,r,1,804.0
90,KOIYANG,0.5,key,red,red,congruent,upright,r,1,857.0
91,KOIYANG,0.5,key,orange,blue,incongruent,upside_down,b,1,1029.0
92,KOIYANG,0.5,key,yellow,yellow,congruent,upright,y,1,709.0
93,KOIYANG,0.5,key,red,red,congruent,upright,r,1,796.0
94,KOIYANG,0.5,key,orange,blue,incongruent,upright,b,1,899.0
95,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,712.0
96,KOIYANG,0.5,key,orange,green,incongruent,upright,g,1,802.0
97,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,757.0
98,KOIYANG,0.5,key,red,red,congruent,upright,r,1,789.0
99,KOIYANG,0.5,key,yellow,blue,incongruent,upright,b,1,806.0
100,KOIYANG,0.5,key,blue,green,incongruent,upside_down,g,1,748.0
101,KOIYANG,0.5,key,blue,red,incongruent,upright,r,1,1052.0
102,KOIYANG,0.5,key,yellow,yellow,congruent,upside_down,y,1,796.0
103,KOIYANG,0.5,key,blue,green,incongruent,upside_down,g,1,1001.0
104,KOIYANG,0.5,key,blue,blue,congruent,upside_down,b,1,819.0
105,KOIYANG,0.5,key,orange,yellow,incongruent,upright,y,1,1077.0
106,KOIYANG,0.5,key,orange,orange,congruent,upright,o,1,1004.0
107,KOIYANG,0.5,key,red,red,congruent,upside_down,r,1,908.0
108,KOIYANG,0.5,key,green,red,incongruent,upside_down,r,1,1192.0
109,KOIYANG,0.5,key,yellow,orange,incongruent,upside_down,o,1,923.0
110,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,781.0
111,KOIYANG,0.5,key,blue,green,incongruent,upright,g,1,841.0
112,KOIYANG,0.5,key,orange,orange,congruent,upside_down,o,1,844.0
113,KOIYANG,0.5,key,orange,blue,incongruent,upside_down,b,1,1364.0
114,KOIYANG,0.5,key,blue,blue,congruent,upright,b,1,645.0
115,KOIYANG,0.5,key,blue,red,incongruent,upright,r,1,963.0
116,KOIYANG,0.5,key,yellow,yellow,congruent,upside_down,y,1,702.0
117,KOIYANG,0.5,key,blue,red,incongruent,upside_down,r,1,941.0
118,KOIYANG,0.5,key,blue,orange,incongruent,upside_down,o,1,1061.0
119,KOIYANG,0.5,key,blue,yellow,incongruent,upright,y,1,815.0
120,KOIYANG,0.5,key,orange,orange,congruent,upright,o,1,782.0
