trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,Shuheng Jiang,0.5,key,orange,orange,congruent,upright,o,1,1235.0
2,Shuheng Jiang,0.5,key,orange,blue,incongruent,upside_down,b,1,1057.0
3,Shuheng Jiang,0.5,key,orange,red,incongruent,upside_down,r,1,969.0
4,Shuheng Jiang,0.5,key,blue,blue,congruent,upright,b,1,744.0
5,Shuheng Jiang,0.5,key,red,yellow,incongruent,upright,y,1,1655.0
6,Shuheng Jiang,0.5,key,green,green,congruent,upright,g,1,772.0
7,Shuheng Jiang,0.5,key,green,green,congruent,upright,g,1,721.0
8,Shuheng Jiang,0.5,key,orange,orange,congruent,upside_down,o,1,767.0
9,Shuheng Jiang,0.5,key,green,green,congruent,upside_down,g,1,669.0
10,Shuheng Jiang,0.5,key,orange,yellow,incongruent,upright,y,1,1185.0
11,Shuheng Jiang,0.5,key,red,blue,incongruent,upright,b,1,711.0
12,Shuheng Jiang,0.5,key,blue,orange,incongruent,upside_down,o,1,1041.0
13,Shuheng Jiang,0.5,key,orange,orange,congruent,upside_down,o,1,753.0
14,Shuheng Jiang,0.5,key,yellow,yellow,congruent,upside_down,y,1,792.0
15,Shuheng Jiang,0.5,key,blue,green,incongruent,upside_down,g,1,943.0
16,Shuheng Jiang,0.5,key,orange,red,incongruent,upright,r,1,850.0
17,Shuheng Jiang,0.5,key,orange,red,incongruent,upside_down,r,1,943.0
18,Shuheng Jiang,0.5,key,green,orange,incongruent,upside_down,o,1,901.0
19,Shuheng Jiang,0.5,key,blue,yellow,incongruent,upright,y,1,933.0
20,Shuheng Jiang,0.5,key,green,green,congruent,upright,g,1,711.0
21,Shuheng Jiang,0.5,key,red,yellow,incongruent,upright,y,1,960.0
22,Shuheng Jiang,0.5,key,orange,orange,congruent,upright,o,1,808.0
23,Shuheng Jiang,0.5,key,yellow,blue,incongruent,upside_down,b,1,1001.0
24,Shuheng Jiang,0.5,key,red,red,congruent,upright,r,1,749.0
