trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,TianrunZ,0.5,key,green,green,congruent,upside_down,g,1,1566.0
2,TianrunZ,0.5,key,blue,blue,congruent,upside_down,b,1,755.0
3,TianrunZ,0.5,key,green,orange,incongruent,upside_down,o,1,1203.0
4,TianrunZ,0.5,key,orange,blue,incongruent,upside_down,b,1,726.0
5,TianrunZ,0.5,key,blue,orange,incongruent,upright,o,1,682.0
6,TianrunZ,0.5,key,orange,orange,congruent,upright,o,1,498.0
7,TianrunZ,0.5,key,red,blue,incongruent,upside_down,b,1,628.0
8,TianrunZ,0.5,key,yellow,blue,incongruent,upside_down,b,1,512.0
9,TianrunZ,0.5,key,orange,orange,congruent,upright,o,1,910.0
10,TianrunZ,0.5,key,orange,yellow,incongruent,upside_down,y,1,938.0
11,TianrunZ,0.5,key,green,red,incongruent,upright,r,1,1054.0
12,TianrunZ,0.5,key,orange,green,incongruent,upright,g,1,1222.0
13,TianrunZ,0.5,key,orange,orange,congruent,upright,o,1,786.0
14,TianrunZ,0.5,key,yellow,blue,incongruent,upright,b,1,805.0
15,TianrunZ,0.5,key,blue,blue,congruent,upright,b,1,563.0
16,TianrunZ,0.5,key,yellow,yellow,congruent,upright,y,1,702.0
17,TianrunZ,0.5,key,yellow,yellow,congruent,upright,y,1,599.0
18,TianrunZ,0.5,key,orange,blue,incongruent,upright,b,1,719.0
19,TianrunZ,0.5,key,blue,blue,congruent,upright,b,1,477.0
20,TianrunZ,0.5,key,green,green,congruent,upright,g,1,922.0
21,TianrunZ,0.5,key,yellow,red,incongruent,upright,r,1,994.0
22,TianrunZ,0.5,key,red,orange,incongruent,upright,o,1,924.0
23,TianrunZ,0.5,key,green,red,incongruent,upside_down,r,1,1010.0
24,TianrunZ,0.5,key,yellow,yellow,congruent,upside_down,y,1,690.0
25,TianrunZ,0.5,key,red,orange,incongruent,upright,o,1,769.0
26,TianrunZ,0.5,key,green,orange,incongruent,upside_down,o,1,616.0
27,TianrunZ,0.5,key,yellow,yellow,congruent,upside_down,y,1,763.0
28,TianrunZ,0.5,key,orange,green,incongruent,upright,g,1,797.0
29,TianrunZ,0.5,key,green,orange,incongruent,upside_down,o,1,1223.0
30,TianrunZ,0.5,key,blue,green,incongruent,upright,g,1,1070.0
31,TianrunZ,0.5,key,red,red,congruent,upright,r,1,1040.0
32,TianrunZ,0.5,key,blue,yellow,incongruent,upside_down,y,1,755.0
33,TianrunZ,0.5,key,green,green,congruent,upright,g,1,575.0
34,TianrunZ,0.5,key,red,green,incongruent,upright,g,1,649.0
35,TianrunZ,0.5,key,blue,blue,congruent,upright,b,1,620.0
36,TianrunZ,0.5,key,green,green,congruent,upside_down,g,1,575.0
37,TianrunZ,0.5,key,orange,green,incongruent,upside_down,g,1,527.0
38,TianrunZ,0.5,key,green,yellow,incongruent,upright,y,1,818.0
39,TianrunZ,0.5,key,green,green,congruent,upside_down,g,1,630.0
40,TianrunZ,0.5,key,green,green,congruent,upright,g,1,378.0
41,TianrunZ,0.5,key,yellow,orange,incongruent,upside_down,o,1,925.0
42,TianrunZ,0.5,key,green,green,congruent,upright,g,1,694.0
43,TianrunZ,0.5,key,orange,green,incongruent,upright,g,1,464.0
44,TianrunZ,0.5,key,green,green,congruent,upside_down,g,1,452.0
45,TianrunZ,0.5,key,yellow,yellow,congruent,upright,y,1,799.0
46,TianrunZ,0.5,key,yellow,blue,incongruent,upright,b,1,675.0
