trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,acart3r,0.5,key,green,green,congruent,upside_down,g,1,1281.0
2,acart3r,0.5,key,red,red,congruent,upside_down,r,1,1013.0
3,acart3r,0.5,key,red,green,incongruent,upright,g,1,1155.0
4,acart3r,0.5,key,red,red,congruent,upright,r,1,906.0
5,acart3r,0.5,key,orange,blue,incongruent,upside_down,b,1,1074.0
6,acart3r,0.5,key,blue,yellow,incongruent,upside_down,y,1,1145.0
7,acart3r,0.5,key,yellow,orange,incongruent,upside_down,o,1,1318.0
8,acart3r,0.5,key,yellow,yellow,congruent,upside_down,y,1,1000.0
9,acart3r,0.5,key,orange,orange,congruent,upright,o,1,937.0
10,acart3r,0.5,key,orange,orange,congruent,upside_down,o,1,778.0
11,acart3r,0.5,key,orange,orange,congruent,upside_down,o,1,677.0
12,acart3r,0.5,key,green,green,congruent,upright,g,1,895.0
13,acart3r,0.5,key,green,green,congruent,upside_down,g,1,706.0
14,acart3r,0.5,key,green,green,congruent,upside_down,g,1,632.0
15,acart3r,0.5,key,red,blue,incongruent,upside_down,b,1,1317.0
16,acart3r,0.5,key,blue,orange,incongruent,upright,o,1,883.0
17,acart3r,0.5,key,red,red,congruent,upright,r,1,854.0
18,acart3r,0.5,key,orange,red,incongruent,upside_down,r,1,1152.0
19,acart3r,0.5,key,yellow,green,incongruent,upright,g,1,884.0
20,acart3r,0.5,key,orange,orange,congruent,upright,o,1,687.0
21,acart3r,0.5,key,yellow,yellow,congruent,upside_down,y,1,920.0
22,acart3r,0.5,key,green,green,congruent,upright,g,1,719.0
23,acart3r,0.5,key,red,red,congruent,upside_down,r,1,863.0
24,acart3r,0.5,key,green,red,incongruent,upside_down,r,1,945.0
25,acart3r,0.5,key,orange,green,incongruent,upright,g,1,945.0
26,acart3r,0.5,key,red,red,congruent,upright,r,1,826.0
27,acart3r,0.5,key,orange,orange,congruent,upright,o,1,705.0
28,acart3r,0.5,key,blue,blue,congruent,upside_down,b,1,850.0
29,acart3r,0.5,key,red,orange,incongruent,upright,o,1,923.0
30,acart3r,0.5,key,yellow,yellow,congruent,upside_down,y,1,818.0
31,acart3r,0.5,key,red,orange,incongruent,upside_down,o,1,975.0
32,acart3r,0.5,key,blue,yellow,incongruent,upside_down,y,1,1043.0
33,acart3r,0.5,key,orange,green,incongruent,upright,g,1,955.0
34,acart3r,0.5,key,red,green,incongruent,upright,g,1,781.0
35,acart3r,0.5,key,yellow,blue,incongruent,upright,b,1,1188.0
36,acart3r,0.5,key,red,blue,incongruent,upright,b,1,779.0
37,acart3r,0.5,key,green,orange,incongruent,upside_down,o,1,815.0
38,acart3r,0.5,key,orange,orange,congruent,upright,o,1,898.0
39,acart3r,0.5,key,blue,blue,congruent,upright,b,1,839.0
40,acart3r,0.5,key,orange,red,incongruent,upright,r,1,817.0
41,acart3r,0.5,key,orange,orange,congruent,upside_down,o,1,678.0
42,acart3r,0.5,key,blue,blue,congruent,upside_down,b,1,728.0
43,acart3r,0.5,key,blue,green,incongruent,upside_down,g,1,1027.0
44,acart3r,0.5,key,blue,yellow,incongruent,upright,y,1,1252.0
