trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,890.0
2,destinyvp,0.5,key,green,orange,incongruent,upright,o,1,879.0
3,destinyvp,0.5,key,green,green,congruent,upright,g,1,625.0
4,destinyvp,0.5,key,red,blue,incongruent,upside_down,b,1,865.0
5,destinyvp,0.5,key,red,orange,incongruent,upright,o,1,681.0
6,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,411.0
7,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,898.0
8,destinyvp,0.5,key,blue,blue,congruent,upright,b,1,469.0
9,destinyvp,0.5,key,blue,blue,congruent,upright,b,1,365.0
10,destinyvp,0.5,key,green,yellow,incongruent,upside_down,y,1,819.0
11,destinyvp,0.5,key,red,green,incongruent,upright,g,1,680.0
12,destinyvp,0.5,key,green,orange,incongruent,upright,o,1,608.0
13,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,631.0
14,destinyvp,0.5,key,red,orange,incongruent,upright,o,1,681.0
15,destinyvp,0.5,key,red,blue,incongruent,upside_down,b,1,663.0
16,destinyvp,0.5,key,green,yellow,incongruent,upright,y,1,934.0
17,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,555.0
18,destinyvp,0.5,key,yellow,orange,incongruent,upright,o,1,558.0
19,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,416.0
20,destinyvp,0.5,key,blue,yellow,incongruent,upside_down,y,1,700.0
21,destinyvp,0.5,key,red,orange,incongruent,upright,o,1,451.0
22,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,599.0
23,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,389.0
24,destinyvp,0.5,key,blue,yellow,incongruent,upright,y,1,642.0
25,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,400.0
26,destinyvp,0.5,key,yellow,blue,incongruent,upright,b,1,642.0
27,destinyvp,0.5,key,red,red,congruent,upright,r,1,616.0
28,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,610.0
29,destinyvp,0.5,key,green,green,congruent,upright,g,1,624.0
30,destinyvp,0.5,key,red,red,congruent,upside_down,r,1,517.0
31,destinyvp,0.5,key,green,green,congruent,upside_down,g,1,684.0
32,destinyvp,0.5,key,red,blue,incongruent,upside_down,b,1,682.0
33,destinyvp,0.5,key,red,blue,incongruent,upside_down,b,1,727.0
34,destinyvp,0.5,key,yellow,blue,incongruent,upright,b,1,439.0
35,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,461.0
36,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,523.0
37,destinyvp,0.5,key,red,orange,incongruent,upside_down,o,1,385.0
38,destinyvp,0.5,key,green,yellow,incongruent,upside_down,y,1,764.0
39,destinyvp,0.5,key,orange,green,incongruent,upside_down,g,1,840.0
40,destinyvp,0.5,key,green,green,congruent,upside_down,g,1,439.0
41,destinyvp,0.5,key,orange,blue,incongruent,upright,b,1,675.0
42,destinyvp,0.5,key,green,orange,incongruent,upright,o,1,662.0
43,destinyvp,0.5,key,green,green,congruent,upright,g,1,863.0
44,destinyvp,0.5,key,red,red,congruent,upside_down,r,1,695.0
45,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,686.0
46,destinyvp,0.5,key,red,red,congruent,upright,r,1,703.0
47,destinyvp,0.5,key,red,red,congruent,upright,r,1,541.0
48,destinyvp,0.5,key,blue,yellow,incongruent,upside_down,y,1,856.0
49,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,620.0
50,destinyvp,0.5,key,yellow,blue,incongruent,upside_down,b,1,405.0
51,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,624.0
52,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,510.0
53,destinyvp,0.5,key,blue,blue,congruent,upright,b,1,769.0
54,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,570.0
55,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,620.0
56,destinyvp,0.5,key,red,blue,incongruent,upright,b,1,389.0
57,destinyvp,0.5,key,red,red,congruent,upright,r,1,567.0
58,destinyvp,0.5,key,yellow,green,incongruent,upside_down,g,1,628.0
59,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,535.0
60,destinyvp,0.5,key,red,red,congruent,upside_down,r,1,504.0
61,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,431.0
62,destinyvp,0.5,key,blue,yellow,incongruent,upright,y,1,653.0
63,destinyvp,0.5,key,blue,red,incongruent,upright,r,1,716.0
64,destinyvp,0.5,key,orange,yellow,incongruent,upside_down,y,1,840.0
65,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,618.0
66,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,453.0
67,destinyvp,0.5,key,green,orange,incongruent,upright,o,1,559.0
68,destinyvp,0.5,key,green,orange,incongruent,upside_down,o,1,337.0
69,destinyvp,0.5,key,blue,blue,congruent,upright,b,1,442.0
70,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,620.0
71,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,361.0
72,destinyvp,0.5,key,blue,yellow,incongruent,upside_down,y,1,833.0
73,destinyvp,0.5,key,red,green,incongruent,upright,g,1,747.0
74,destinyvp,0.5,key,red,orange,incongruent,upright,o,1,702.0
75,destinyvp,0.5,key,green,blue,incongruent,upside_down,b,1,579.0
76,destinyvp,0.5,key,red,red,congruent,upside_down,r,1,690.0
77,destinyvp,0.5,key,blue,blue,congruent,upright,g,0,580.0
78,destinyvp,0.5,key,blue,blue,congruent,upright,b,1,429.0
79,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,582.0
80,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,645.0
81,destinyvp,0.5,key,red,orange,incongruent,upside_down,o,1,679.0
82,destinyvp,0.5,key,green,green,congruent,upside_down,g,1,645.0
83,destinyvp,0.5,key,blue,blue,congruent,upright,b,1,573.0
84,destinyvp,0.5,key,orange,green,incongruent,upside_down,g,1,948.0
85,destinyvp,0.5,key,green,green,congruent,upright,g,1,475.0
86,destinyvp,0.5,key,orange,red,incongruent,upside_down,r,1,810.0
87,destinyvp,0.5,key,blue,orange,incongruent,upside_down,o,1,643.0
88,destinyvp,0.5,key,green,orange,incongruent,upside_down,o,1,530.0
89,destinyvp,0.5,key,yellow,green,incongruent,upright,g,1,589.0
90,destinyvp,0.5,key,yellow,orange,incongruent,upright,o,1,538.0
91,destinyvp,0.5,key,blue,yellow,incongruent,upright,y,1,732.0
92,destinyvp,0.5,key,orange,blue,incongruent,upright,b,1,669.0
93,destinyvp,0.5,key,orange,orange,congruent,upright,o,1,541.0
94,destinyvp,0.5,key,green,yellow,incongruent,upside_down,y,1,699.0
95,destinyvp,0.5,key,orange,red,incongruent,upright,r,1,734.0
96,destinyvp,0.5,key,yellow,green,incongruent,upright,g,1,631.0
97,destinyvp,0.5,key,blue,green,incongruent,upside_down,g,1,603.0
98,destinyvp,0.5,key,blue,orange,incongruent,upside_down,o,1,564.0
99,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,637.0
100,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,581.0
101,destinyvp,0.5,key,red,yellow,incongruent,upright,y,1,727.0
102,destinyvp,0.5,key,green,yellow,incongruent,upright,y,1,637.0
103,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,601.0
104,destinyvp,0.5,key,orange,blue,incongruent,upright,b,1,360.0
105,destinyvp,0.5,key,green,orange,incongruent,upright,o,1,646.0
106,destinyvp,0.5,key,orange,blue,incongruent,upside_down,o,0,482.0
107,destinyvp,0.5,key,orange,yellow,incongruent,upright,y,1,657.0
108,destinyvp,0.5,key,blue,orange,incongruent,upright,o,1,673.0
109,destinyvp,0.5,key,green,green,congruent,upright,g,1,666.0
110,destinyvp,0.5,key,yellow,yellow,congruent,upside_down,y,1,718.0
111,destinyvp,0.5,key,red,red,congruent,upside_down,r,1,547.0
112,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,575.0
113,destinyvp,0.5,key,red,orange,incongruent,upside_down,o,1,422.0
114,destinyvp,0.5,key,green,orange,incongruent,upside_down,o,1,472.0
115,destinyvp,0.5,key,red,red,congruent,upside_down,r,1,519.0
116,destinyvp,0.5,key,blue,red,incongruent,upright,r,1,617.0
117,destinyvp,0.5,key,green,yellow,incongruent,upright,y,1,580.0
118,destinyvp,0.5,key,orange,orange,congruent,upside_down,o,1,732.0
119,destinyvp,0.5,key,red,red,congruent,upright,r,1,585.0
120,destinyvp,0.5,key,blue,blue,congruent,upside_down,b,1,549.0
