trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,1195.0
2,dtdonnelly,0.25,key,blue,orange,incongruent,upside_down,o,1,1125.0
3,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,969.0
4,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,1398.0
5,dtdonnelly,0.25,key,green,blue,incongruent,upside_down,b,1,1041.0
6,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,795.0
7,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,876.0
8,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,888.0
9,dtdonnelly,0.25,key,red,red,congruent,upside_down,r,1,1215.0
10,dtdonnelly,0.25,key,yellow,yellow,congruent,upside_down,y,1,1128.0
11,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,1146.0
12,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,1080.0
13,dtdonnelly,0.25,key,blue,blue,congruent,upside_down,b,1,810.0
14,dtdonnelly,0.25,key,red,red,congruent,upside_down,r,1,1097.0
15,dtdonnelly,0.25,key,green,green,congruent,upright,g,1,929.0
16,dtdonnelly,0.25,key,orange,orange,congruent,upside_down,o,1,816.0
17,dtdonnelly,0.25,key,green,blue,incongruent,upside_down,b,1,913.0
18,dtdonnelly,0.25,key,orange,green,incongruent,upright,g,1,1297.0
19,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,1005.0
20,dtdonnelly,0.25,key,green,red,incongruent,upside_down,r,1,1095.0
21,dtdonnelly,0.25,key,orange,orange,congruent,upside_down,o,1,956.0
22,dtdonnelly,0.25,key,orange,green,incongruent,upside_down,g,1,904.0
23,dtdonnelly,0.25,key,red,green,incongruent,upright,g,1,873.0
24,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,809.0
25,dtdonnelly,0.25,key,green,green,congruent,upside_down,g,1,878.0
26,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,747.0
27,dtdonnelly,0.25,key,orange,orange,congruent,upright,o,1,881.0
28,dtdonnelly,0.25,key,orange,orange,congruent,upside_down,o,1,867.0
29,dtdonnelly,0.25,key,green,blue,incongruent,upside_down,b,1,891.0
30,dtdonnelly,0.25,key,red,green,incongruent,upright,g,1,923.0
31,dtdonnelly,0.25,key,orange,yellow,incongruent,upright,y,1,1106.0
32,dtdonnelly,0.25,key,red,red,congruent,upside_down,r,1,848.0
33,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,824.0
34,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,802.0
35,dtdonnelly,0.25,key,red,red,congruent,upside_down,r,1,784.0
36,dtdonnelly,0.25,key,orange,orange,congruent,upside_down,o,1,851.0
37,dtdonnelly,0.25,key,yellow,red,incongruent,upside_down,r,1,1202.0
38,dtdonnelly,0.25,key,blue,blue,congruent,upside_down,b,1,827.0
39,dtdonnelly,0.25,key,green,green,congruent,upside_down,g,1,806.0
40,dtdonnelly,0.25,key,yellow,green,incongruent,upright,g,1,860.0
41,dtdonnelly,0.25,key,green,green,congruent,upside_down,g,1,1035.0
42,dtdonnelly,0.25,key,yellow,orange,incongruent,upright,o,1,1078.0
43,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,860.0
44,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,725.0
45,dtdonnelly,0.25,key,red,red,congruent,upside_down,r,1,988.0
46,dtdonnelly,0.25,key,orange,yellow,incongruent,upside_down,y,1,944.0
47,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,833.0
48,dtdonnelly,0.25,key,blue,blue,congruent,upright,b,1,680.0
49,dtdonnelly,0.25,key,green,green,congruent,upside_down,g,1,930.0
50,dtdonnelly,0.25,key,green,orange,incongruent,upside_down,o,1,1112.0
51,dtdonnelly,0.25,key,green,green,congruent,upright,g,1,942.0
52,dtdonnelly,0.25,key,blue,red,incongruent,upside_down,r,1,1290.0
53,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,826.0
54,dtdonnelly,0.25,key,yellow,yellow,congruent,upright,y,1,1045.0
55,dtdonnelly,0.25,key,blue,orange,incongruent,upside_down,o,1,1061.0
56,dtdonnelly,0.25,key,orange,orange,congruent,upside_down,o,1,657.0
57,dtdonnelly,0.25,key,green,green,congruent,upright,g,1,919.0
58,dtdonnelly,0.25,key,yellow,yellow,congruent,upside_down,y,1,992.0
59,dtdonnelly,0.25,key,blue,blue,congruent,upside_down,b,1,1615.0
60,dtdonnelly,0.25,key,green,green,congruent,upside_down,g,1,808.0
61,dtdonnelly,0.25,key,orange,orange,congruent,upright,o,1,824.0
