trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,fuyichen238,0.25,key,red,red,congruent,upright,r,1,828.0
2,fuyichen238,0.25,key,red,red,congruent,upside_down,r,1,827.0
3,fuyichen238,0.25,key,blue,blue,congruent,upright,b,1,733.0
4,fuyichen238,0.25,key,red,orange,incongruent,upside_down,o,1,1287.0
5,fuyichen238,0.25,key,orange,yellow,incongruent,upside_down,y,1,960.0
6,fuyichen238,0.25,key,red,orange,incongruent,upside_down,o,1,978.0
7,fuyichen238,0.25,key,orange,orange,congruent,upside_down,o,1,630.0
8,fuyichen238,0.25,key,blue,blue,congruent,upright,b,1,677.0
9,fuyichen238,0.25,key,red,red,congruent,upside_down,r,1,766.0
10,fuyichen238,0.25,key,yellow,yellow,congruent,upright,y,1,815.0
11,fuyichen238,0.25,key,blue,blue,congruent,upright,b,1,672.0
12,fuyichen238,0.25,key,red,orange,incongruent,upside_down,o,1,1036.0
13,fuyichen238,0.25,key,orange,orange,congruent,upright,o,1,827.0
14,fuyichen238,0.25,key,blue,blue,congruent,upside_down,b,1,820.0
15,fuyichen238,0.25,key,yellow,yellow,congruent,upright,y,1,674.0
16,fuyichen238,0.25,key,red,red,congruent,upright,r,1,785.0
17,fuyichen238,0.25,key,yellow,yellow,congruent,upright,y,1,850.0
18,fuyichen238,0.25,key,blue,blue,congruent,upside_down,b,1,784.0
19,fuyichen238,0.25,key,yellow,yellow,congruent,upright,y,1,632.0
20,fuyichen238,0.25,key,orange,orange,congruent,upside_down,o,1,647.0
21,fuyichen238,0.25,key,blue,red,incongruent,upright,r,1,1049.0
22,fuyichen238,0.25,key,green,green,congruent,upside_down,g,1,972.0
23,fuyichen238,0.25,key,blue,blue,congruent,upside_down,b,1,767.0
24,fuyichen238,0.25,key,orange,blue,incongruent,upside_down,b,1,852.0
25,fuyichen238,0.25,key,green,yellow,incongruent,upside_down,y,1,795.0
26,fuyichen238,0.25,key,green,green,congruent,upside_down,g,1,889.0
27,fuyichen238,0.25,key,red,red,congruent,upright,r,1,649.0
28,fuyichen238,0.25,key,red,red,congruent,upside_down,r,1,446.0
29,fuyichen238,0.25,key,blue,orange,incongruent,upright,o,1,1105.0
30,fuyichen238,0.25,key,orange,yellow,incongruent,upright,y,1,1564.0
31,fuyichen238,0.25,key,blue,blue,congruent,upside_down,b,1,2295.0
32,fuyichen238,0.25,key,red,orange,incongruent,upright,o,1,1022.0
33,fuyichen238,0.25,key,blue,blue,congruent,upright,b,1,742.0
34,fuyichen238,0.25,key,green,green,congruent,upside_down,g,1,836.0
35,fuyichen238,0.25,key,green,orange,incongruent,upside_down,o,1,905.0
36,fuyichen238,0.25,key,yellow,yellow,congruent,upside_down,y,1,660.0
37,fuyichen238,0.25,key,yellow,yellow,congruent,upright,y,1,519.0
38,fuyichen238,0.25,key,yellow,yellow,congruent,upside_down,y,1,473.0
39,fuyichen238,0.25,key,yellow,yellow,congruent,upright,y,1,408.0
40,fuyichen238,0.25,key,blue,blue,congruent,upright,b,1,665.0
41,fuyichen238,0.25,key,green,green,congruent,upright,g,1,792.0
42,fuyichen238,0.25,key,blue,blue,congruent,upright,b,1,757.0
43,fuyichen238,0.25,key,green,green,congruent,upside_down,g,1,833.0
44,fuyichen238,0.25,key,orange,orange,congruent,upright,o,1,829.0
45,fuyichen238,0.25,key,yellow,yellow,congruent,upside_down,y,1,669.0
46,fuyichen238,0.25,key,green,green,congruent,upright,g,1,635.0
47,fuyichen238,0.25,key,orange,orange,congruent,upright,o,1,916.0
48,fuyichen238,0.25,key,green,red,incongruent,upside_down,r,1,804.0
49,fuyichen238,0.25,key,yellow,green,incongruent,upright,g,1,1261.0
50,fuyichen238,0.25,key,red,green,incongruent,upright,g,1,977.0
51,fuyichen238,0.25,key,yellow,yellow,congruent,upside_down,y,1,767.0
52,fuyichen238,0.25,key,red,red,congruent,upright,r,1,620.0
53,fuyichen238,0.25,key,red,orange,incongruent,upright,o,1,1103.0
54,fuyichen238,0.25,key,blue,blue,congruent,upside_down,b,1,756.0
55,fuyichen238,0.25,key,red,red,congruent,upright,r,1,680.0
56,fuyichen238,0.25,key,yellow,red,incongruent,upright,r,1,890.0
57,fuyichen238,0.25,key,blue,orange,incongruent,upside_down,o,1,996.0
58,fuyichen238,0.25,key,red,red,congruent,upside_down,r,1,645.0
59,fuyichen238,0.25,key,blue,blue,congruent,upside_down,b,1,674.0
60,fuyichen238,0.25,key,yellow,yellow,congruent,upside_down,y,1,728.0
61,fuyichen238,0.25,key,green,green,congruent,upside_down,g,1,793.0
62,fuyichen238,0.25,key,red,blue,incongruent,upside_down,b,1,1025.0
63,fuyichen238,0.25,key,green,green,congruent,upright,g,1,1256.0
64,fuyichen238,0.25,key,orange,green,incongruent,upside_down,g,1,566.0
65,fuyichen238,0.25,key,green,green,congruent,upright,g,1,467.0
