trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,goedenallyson,.5,key,orange,orange,congruent,upside_down,o,1,828.0
2,goedenallyson,.5,key,yellow,orange,incongruent,upright,o,1,828.0
3,goedenallyson,.5,key,orange,orange,congruent,upside_down,o,1,415.0
4,goedenallyson,.5,key,green,red,incongruent,upside_down,r,1,906.0
5,goedenallyson,.5,key,orange,blue,incongruent,upright,b,1,936.0
6,goedenallyson,.5,key,red,blue,incongruent,upright,b,1,781.0
7,goedenallyson,.5,key,blue,blue,congruent,upright,b,1,506.0
8,goedenallyson,.5,key,blue,blue,congruent,upright,b,1,503.0
9,goedenallyson,.5,key,blue,blue,congruent,upright,b,1,441.0
10,goedenallyson,.5,key,red,red,congruent,upside_down,r,1,558.0
11,goedenallyson,.5,key,orange,green,incongruent,upside_down,g,1,924.0
12,goedenallyson,.5,key,yellow,green,incongruent,upright,g,1,578.0
13,goedenallyson,.5,key,blue,green,incongruent,upright,g,1,566.0
14,goedenallyson,.5,key,orange,yellow,incongruent,upside_down,y,1,906.0
15,goedenallyson,.5,key,green,green,congruent,upside_down,g,1,851.0
16,goedenallyson,.5,key,blue,red,incongruent,upright,r,1,1000.0
17,goedenallyson,.5,key,green,blue,incongruent,upside_down,b,1,818.0
18,goedenallyson,.5,key,yellow,yellow,congruent,upright,y,1,721.0
19,goedenallyson,.5,key,yellow,green,incongruent,upright,g,1,818.0
20,goedenallyson,.5,key,yellow,red,incongruent,upright,r,1,804.0
21,goedenallyson,.5,key,orange,yellow,incongruent,upside_down,y,1,796.0
22,goedenallyson,.5,key,green,green,congruent,upright,g,1,608.0
23,goedenallyson,.5,key,green,green,congruent,upside_down,g,1,578.0
24,goedenallyson,.5,key,blue,yellow,incongruent,upside_down,y,1,913.0
25,goedenallyson,.5,key,orange,red,incongruent,upright,r,1,737.0
26,goedenallyson,.5,key,green,green,congruent,upside_down,g,1,656.0
27,goedenallyson,.5,key,red,orange,incongruent,upside_down,o,1,1046.0
28,goedenallyson,.5,key,yellow,yellow,congruent,upright,y,1,649.0
29,goedenallyson,.5,key,yellow,green,incongruent,upside_down,g,1,765.0
30,goedenallyson,.5,key,red,green,incongruent,upright,g,1,595.0
31,goedenallyson,.5,key,yellow,orange,incongruent,upright,o,1,869.0
32,goedenallyson,.5,key,red,red,congruent,upside_down,r,1,824.0
33,goedenallyson,.5,key,orange,orange,congruent,upside_down,o,1,597.0
34,goedenallyson,.5,key,red,orange,incongruent,upright,NA,0,NA
35,goedenallyson,.5,key,yellow,yellow,congruent,upright,y,1,997.0
36,goedenallyson,.5,key,yellow,yellow,congruent,upright,y,1,587.0
37,goedenallyson,.5,key,orange,orange,congruent,upside_down,o,1,660.0
38,goedenallyson,.5,key,green,yellow,incongruent,upside_down,y,1,2439.0
39,goedenallyson,.5,key,green,green,congruent,upside_down,g,1,696.0
40,goedenallyson,.5,key,blue,blue,congruent,upside_down,NA,0,NA
41,goedenallyson,.5,key,orange,orange,congruent,upside_down,o,1,737.0
42,goedenallyson,.5,key,yellow,yellow,congruent,upright,y,1,674.0
