trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,864.0
2,test_subj88,0.5,key,blue,blue,congruent,upright,b,1,600.0
3,test_subj88,0.5,key,yellow,yellow,congruent,upside_down,y,1,880.0
4,test_subj88,0.5,key,orange,orange,congruent,upside_down,o,1,584.0
5,test_subj88,0.5,key,yellow,green,incongruent,upside_down,g,1,1110.0
6,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,784.0
7,test_subj88,0.5,key,blue,orange,incongruent,upright,o,1,1381.0
8,test_subj88,0.5,key,red,blue,incongruent,upright,g,0,982.0
9,test_subj88,0.5,key,red,green,incongruent,upside_down,g,1,2006.0
10,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,875.0
11,test_subj88,0.5,key,green,red,incongruent,upright,r,1,1235.0
12,test_subj88,0.5,key,green,green,congruent,upright,g,1,716.0
13,test_subj88,0.5,key,red,red,congruent,upside_down,r,1,633.0
14,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,607.0
15,test_subj88,0.5,key,orange,orange,congruent,upside_down,o,1,580.0
16,test_subj88,0.5,key,green,green,congruent,upright,g,1,590.0
17,test_subj88,0.5,key,red,yellow,incongruent,upside_down,y,1,563.0
18,test_subj88,0.5,key,blue,blue,congruent,upside_down,b,1,857.0
19,test_subj88,0.5,key,orange,green,incongruent,upside_down,g,1,1332.0
20,test_subj88,0.5,key,orange,red,incongruent,upright,r,1,939.0
21,test_subj88,0.5,key,blue,green,incongruent,upright,g,1,961.0
22,test_subj88,0.5,key,orange,red,incongruent,upside_down,r,1,1169.0
23,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,812.0
24,test_subj88,0.5,key,orange,blue,incongruent,upright,g,0,790.0
25,test_subj88,0.5,key,green,yellow,incongruent,upright,y,1,984.0
26,test_subj88,0.5,key,green,yellow,incongruent,upright,g,0,592.0
27,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,603.0
28,test_subj88,0.5,key,orange,yellow,incongruent,upright,y,1,1059.0
29,test_subj88,0.5,key,green,blue,incongruent,upside_down,b,1,1016.0
30,test_subj88,0.5,key,yellow,yellow,congruent,upside_down,y,1,725.0
31,test_subj88,0.5,key,green,orange,incongruent,upside_down,o,1,799.0
32,test_subj88,0.5,key,red,green,incongruent,upright,g,1,1035.0
33,test_subj88,0.5,key,yellow,yellow,congruent,upright,y,1,875.0
34,test_subj88,0.5,key,yellow,yellow,congruent,upright,y,1,913.0
35,test_subj88,0.5,key,yellow,orange,incongruent,upright,o,1,760.0
36,test_subj88,0.5,key,orange,orange,congruent,upside_down,o,1,651.0
37,test_subj88,0.5,key,green,green,congruent,upright,g,1,765.0
38,test_subj88,0.5,key,orange,red,incongruent,upside_down,r,1,794.0
39,test_subj88,0.5,key,green,blue,incongruent,upside_down,b,1,1062.0
40,test_subj88,0.5,key,green,yellow,incongruent,upright,y,1,775.0
41,test_subj88,0.5,key,orange,green,incongruent,upright,g,1,1509.0
42,test_subj88,0.5,key,green,green,congruent,upright,g,1,595.0
43,test_subj88,0.5,key,blue,blue,congruent,upside_down,b,1,904.0
44,test_subj88,0.5,key,orange,orange,congruent,upside_down,o,1,716.0
45,test_subj88,0.5,key,red,green,incongruent,upright,g,1,977.0
46,test_subj88,0.5,key,yellow,yellow,congruent,upside_down,y,1,869.0
47,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,731.0
48,test_subj88,0.5,key,red,yellow,incongruent,upside_down,y,1,1633.0
49,test_subj88,0.5,key,yellow,yellow,congruent,upright,y,1,795.0
50,test_subj88,0.5,key,red,red,congruent,upside_down,r,1,1497.0
51,test_subj88,0.5,key,yellow,yellow,congruent,upright,y,1,840.0
52,test_subj88,0.5,key,blue,red,incongruent,upside_down,r,1,1123.0
53,test_subj88,0.5,key,blue,yellow,incongruent,upside_down,y,1,935.0
54,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,1269.0
55,test_subj88,0.5,key,blue,blue,congruent,upside_down,b,1,1448.0
56,test_subj88,0.5,key,green,yellow,incongruent,upside_down,y,1,1488.0
57,test_subj88,0.5,key,blue,blue,congruent,upright,b,1,943.0
58,test_subj88,0.5,key,red,red,congruent,upright,r,1,1121.0
59,test_subj88,0.5,key,green,red,incongruent,upright,r,1,1433.0
60,test_subj88,0.5,key,yellow,green,incongruent,upside_down,g,1,1380.0
61,test_subj88,0.5,key,red,yellow,incongruent,upside_down,r,0,746.0
62,test_subj88,0.5,key,blue,yellow,incongruent,upright,y,1,1021.0
63,test_subj88,0.5,key,green,red,incongruent,upside_down,r,1,1595.0
64,test_subj88,0.5,key,blue,blue,congruent,upright,b,1,818.0
65,test_subj88,0.5,key,blue,orange,incongruent,upright,o,1,722.0
66,test_subj88,0.5,key,orange,green,incongruent,upright,g,1,1333.0
67,test_subj88,0.5,key,red,red,congruent,upside_down,r,1,678.0
68,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,670.0
69,test_subj88,0.5,key,yellow,yellow,congruent,upside_down,y,1,1453.0
70,test_subj88,0.5,key,red,red,congruent,upright,r,1,1611.0
71,test_subj88,0.5,key,blue,blue,congruent,upside_down,b,1,1104.0
72,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,1095.0
73,test_subj88,0.5,key,yellow,green,incongruent,upside_down,y,0,1030.0
74,test_subj88,0.5,key,orange,orange,congruent,upright,o,1,611.0
75,test_subj88,0.5,key,red,red,congruent,upright,r,1,821.0
76,test_subj88,0.5,key,yellow,yellow,congruent,upright,y,1,1537.0
77,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,740.0
78,test_subj88,0.5,key,green,blue,incongruent,upright,b,1,1921.0
79,test_subj88,0.5,key,blue,blue,congruent,upright,b,1,2279.0
80,test_subj88,0.5,key,green,orange,incongruent,upside_down,o,1,729.0
81,test_subj88,0.5,key,orange,red,incongruent,upside_down,r,1,1095.0
82,test_subj88,0.5,key,yellow,green,incongruent,upside_down,g,1,968.0
83,test_subj88,0.5,key,green,orange,incongruent,upside_down,o,1,776.0
84,test_subj88,0.5,key,yellow,yellow,congruent,upside_down,y,1,779.0
85,test_subj88,0.5,key,orange,orange,congruent,upside_down,o,1,1187.0
86,test_subj88,0.5,key,yellow,yellow,congruent,upright,y,1,777.0
87,test_subj88,0.5,key,blue,orange,incongruent,upside_down,o,1,1386.0
88,test_subj88,0.5,key,blue,blue,congruent,upright,b,1,827.0
89,test_subj88,0.5,key,orange,green,incongruent,upside_down,g,1,1027.0
90,test_subj88,0.5,key,blue,blue,congruent,upright,b,1,966.0
91,test_subj88,0.5,key,orange,blue,incongruent,upside_down,g,0,1703.0
92,test_subj88,0.5,key,green,green,congruent,upright,g,1,647.0
93,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,1855.0
94,test_subj88,0.5,key,green,yellow,incongruent,upside_down,y,1,1258.0
95,test_subj88,0.5,key,red,orange,incongruent,upside_down,o,1,1552.0
96,test_subj88,0.5,key,blue,red,incongruent,upside_down,r,1,1297.0
97,test_subj88,0.5,key,blue,orange,incongruent,upside_down,o,1,1693.0
98,test_subj88,0.5,key,red,blue,incongruent,upright,b,1,1131.0
99,test_subj88,0.5,key,blue,green,incongruent,upside_down,g,1,1768.0
100,test_subj88,0.5,key,green,green,congruent,upside_down,g,1,768.0
101,test_subj88,0.5,key,orange,yellow,incongruent,upright,y,1,1344.0
