trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,lsmithbecker,0.25,key,orange,yellow,incongruent,upright,y,1,1016.0
2,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,637.0
3,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,614.0
4,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,571.0
5,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,645.0
6,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,830.0
7,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,617.0
8,lsmithbecker,0.25,key,orange,green,incongruent,upside_down,g,1,920.0
9,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,620.0
10,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,706.0
11,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,707.0
12,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,780.0
13,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,568.0
14,lsmithbecker,0.25,key,green,blue,incongruent,upright,b,1,774.0
15,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,753.0
16,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,760.0
17,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,680.0
18,lsmithbecker,0.25,key,blue,blue,congruent,upright,b,1,593.0
19,lsmithbecker,0.25,key,yellow,green,incongruent,upside_down,g,1,787.0
20,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,655.0
21,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,599.0
22,lsmithbecker,0.25,key,orange,red,incongruent,upright,r,1,966.0
23,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,665.0
24,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,601.0
25,lsmithbecker,0.25,key,orange,red,incongruent,upright,r,1,767.0
26,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,643.0
27,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,640.0
28,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,699.0
29,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,690.0
30,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,625.0
31,lsmithbecker,0.25,key,orange,green,incongruent,upside_down,g,1,765.0
32,lsmithbecker,0.25,key,red,blue,incongruent,upside_down,b,1,786.0
33,lsmithbecker,0.25,key,yellow,green,incongruent,upside_down,g,1,700.0
34,lsmithbecker,0.25,key,blue,yellow,incongruent,upright,y,1,770.0
35,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,618.0
36,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,469.0
37,lsmithbecker,0.25,key,red,red,congruent,upside_down,r,1,509.0
38,lsmithbecker,0.25,key,orange,red,incongruent,upright,o,0,579.0
39,lsmithbecker,0.25,key,blue,blue,congruent,upright,b,1,502.0
40,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,633.0
41,lsmithbecker,0.25,key,blue,blue,congruent,upright,b,1,498.0
42,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,471.0
43,lsmithbecker,0.25,key,orange,yellow,incongruent,upside_down,y,1,1010.0
44,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,497.0
45,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,507.0
46,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,826.0
47,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,509.0
48,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,465.0
49,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,489.0
50,lsmithbecker,0.25,key,yellow,blue,incongruent,upside_down,b,1,623.0
51,lsmithbecker,0.25,key,blue,red,incongruent,upright,r,1,640.0
52,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,565.0
53,lsmithbecker,0.25,key,red,red,congruent,upside_down,r,1,474.0
54,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,563.0
55,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,374.0
56,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,473.0
57,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,417.0
58,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,458.0
59,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,486.0
60,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,595.0
61,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,589.0
62,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,621.0
63,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,585.0
64,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,533.0
65,lsmithbecker,0.25,key,red,red,congruent,upside_down,r,1,509.0
66,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,418.0
67,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,505.0
68,lsmithbecker,0.25,key,blue,green,incongruent,upside_down,g,1,566.0
69,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,398.0
70,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,347.0
71,lsmithbecker,0.25,key,red,red,congruent,upside_down,r,1,336.0
72,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,419.0
73,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,797.0
74,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,514.0
75,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,583.0
76,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,626.0
77,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,530.0
78,lsmithbecker,0.25,key,green,yellow,incongruent,upside_down,y,1,834.0
79,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,539.0
80,lsmithbecker,0.25,key,red,orange,incongruent,upright,o,1,1114.0
81,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,544.0
82,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,458.0
83,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,486.0
84,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,473.0
85,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,435.0
86,lsmithbecker,0.25,key,yellow,orange,incongruent,upright,o,1,678.0
87,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,510.0
88,lsmithbecker,0.25,key,blue,green,incongruent,upside_down,g,1,725.0
89,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,526.0
90,lsmithbecker,0.25,key,blue,red,incongruent,upright,r,1,643.0
91,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,402.0
92,lsmithbecker,0.25,key,blue,blue,congruent,upright,b,1,569.0
93,lsmithbecker,0.25,key,yellow,green,incongruent,upright,g,1,689.0
94,lsmithbecker,0.25,key,blue,yellow,incongruent,upright,y,1,750.0
95,lsmithbecker,0.25,key,blue,orange,incongruent,upside_down,o,1,762.0
96,lsmithbecker,0.25,key,red,red,congruent,upright,r,1,509.0
97,lsmithbecker,0.25,key,yellow,yellow,congruent,upside_down,y,1,634.0
98,lsmithbecker,0.25,key,red,red,congruent,upside_down,r,1,489.0
99,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,516.0
100,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,593.0
101,lsmithbecker,0.25,key,orange,yellow,incongruent,upside_down,y,1,917.0
102,lsmithbecker,0.25,key,red,orange,incongruent,upside_down,o,1,659.0
103,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,534.0
104,lsmithbecker,0.25,key,green,orange,incongruent,upside_down,o,1,1016.0
105,lsmithbecker,0.25,key,red,red,congruent,upside_down,r,1,672.0
106,lsmithbecker,0.25,key,blue,blue,congruent,upside_down,b,1,468.0
107,lsmithbecker,0.25,key,yellow,yellow,congruent,upright,y,1,428.0
108,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,460.0
109,lsmithbecker,0.25,key,yellow,blue,incongruent,upside_down,b,1,745.0
110,lsmithbecker,0.25,key,green,green,congruent,upside_down,o,0,372.0
111,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,374.0
112,lsmithbecker,0.25,key,orange,red,incongruent,upside_down,o,0,601.0
113,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,647.0
114,lsmithbecker,0.25,key,blue,orange,incongruent,upright,o,1,874.0
115,lsmithbecker,0.25,key,green,orange,incongruent,upside_down,o,1,695.0
116,lsmithbecker,0.25,key,orange,orange,congruent,upside_down,o,1,460.0
117,lsmithbecker,0.25,key,green,green,congruent,upside_down,g,1,546.0
118,lsmithbecker,0.25,key,blue,blue,congruent,upright,b,1,447.0
119,lsmithbecker,0.25,key,orange,orange,congruent,upright,o,1,540.0
120,lsmithbecker,0.25,key,green,green,congruent,upright,g,1,498.0
