trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,629.0
2,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,734.0
3,madisonherrmann,0.25,key,green,blue,incongruent,upside_down,b,1,952.0
4,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,936.0
5,madisonherrmann,0.25,key,orange,orange,congruent,upright,o,1,732.0
6,madisonherrmann,0.25,key,orange,blue,incongruent,upside_down,b,1,1278.0
7,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,688.0
8,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,1532.0
9,madisonherrmann,0.25,key,green,red,incongruent,upside_down,NA,0,NA
10,madisonherrmann,0.25,key,orange,orange,congruent,upright,o,1,2026.0
11,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,852.0
12,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,733.0
13,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,754.0
14,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,856.0
15,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,1124.0
16,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,670.0
17,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,590.0
18,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,604.0
19,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,572.0
20,madisonherrmann,0.25,key,yellow,red,incongruent,upright,r,1,1302.0
21,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,759.0
22,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,590.0
23,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,623.0
24,madisonherrmann,0.25,key,yellow,yellow,congruent,upright,y,1,607.0
25,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,614.0
26,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,673.0
27,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,591.0
28,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,502.0
29,madisonherrmann,0.25,key,orange,green,incongruent,upside_down,g,1,1288.0
30,madisonherrmann,0.25,key,orange,orange,congruent,upright,o,1,738.0
31,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,604.0
32,madisonherrmann,0.25,key,red,orange,incongruent,upside_down,o,1,1025.0
33,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,647.0
34,madisonherrmann,0.25,key,blue,yellow,incongruent,upside_down,y,1,782.0
35,madisonherrmann,0.25,key,yellow,yellow,congruent,upright,y,1,638.0
36,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,816.0
37,madisonherrmann,0.25,key,red,green,incongruent,upright,g,1,1113.0
38,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,704.0
39,madisonherrmann,0.25,key,blue,yellow,incongruent,upside_down,y,1,774.0
40,madisonherrmann,0.25,key,yellow,red,incongruent,upside_down,r,1,1000.0
41,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,583.0
42,madisonherrmann,0.25,key,blue,orange,incongruent,upside_down,o,1,888.0
43,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,599.0
44,madisonherrmann,0.25,key,blue,blue,congruent,upside_down,b,1,539.0
45,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,608.0
46,madisonherrmann,0.25,key,yellow,orange,incongruent,upside_down,o,1,990.0
47,madisonherrmann,0.25,key,red,green,incongruent,upright,g,1,1101.0
48,madisonherrmann,0.25,key,orange,blue,incongruent,upright,b,1,841.0
49,madisonherrmann,0.25,key,green,red,incongruent,upside_down,r,1,851.0
50,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,618.0
51,madisonherrmann,0.25,key,yellow,yellow,congruent,upright,y,1,690.0
52,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,764.0
53,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,572.0
54,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,612.0
55,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,697.0
56,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,595.0
57,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,652.0
58,madisonherrmann,0.25,key,yellow,green,incongruent,upside_down,g,1,983.0
59,madisonherrmann,0.25,key,blue,blue,congruent,upside_down,b,1,634.0
60,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,761.0
61,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,558.0
62,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,589.0
63,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,589.0
64,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,623.0
65,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,550.0
66,madisonherrmann,0.25,key,orange,red,incongruent,upside_down,r,1,876.0
67,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,518.0
68,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,598.0
69,madisonherrmann,0.25,key,yellow,yellow,congruent,upright,y,1,588.0
70,madisonherrmann,0.25,key,blue,blue,congruent,upside_down,b,1,586.0
71,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,637.0
72,madisonherrmann,0.25,key,blue,blue,congruent,upside_down,b,1,614.0
73,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,701.0
74,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,616.0
75,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,600.0
76,madisonherrmann,0.25,key,yellow,yellow,congruent,upright,y,1,738.0
77,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,586.0
78,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,618.0
79,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,592.0
80,madisonherrmann,0.25,key,blue,yellow,incongruent,upside_down,y,1,989.0
81,madisonherrmann,0.25,key,red,green,incongruent,upright,g,1,1265.0
82,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,583.0
83,madisonherrmann,0.25,key,blue,orange,incongruent,upside_down,o,1,923.0
84,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,2034.0
85,madisonherrmann,0.25,key,yellow,yellow,congruent,upright,y,1,954.0
86,madisonherrmann,0.25,key,red,red,congruent,upright,r,1,824.0
87,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,531.0
88,madisonherrmann,0.25,key,green,green,congruent,upright,g,1,740.0
89,madisonherrmann,0.25,key,blue,blue,congruent,upside_down,b,1,879.0
90,madisonherrmann,0.25,key,yellow,orange,incongruent,upside_down,o,1,1049.0
91,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,861.0
92,madisonherrmann,0.25,key,blue,orange,incongruent,upside_down,o,1,836.0
93,madisonherrmann,0.25,key,red,red,congruent,upside_down,r,1,717.0
94,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,800.0
95,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,715.0
96,madisonherrmann,0.25,key,yellow,yellow,congruent,upside_down,y,1,851.0
97,madisonherrmann,0.25,key,orange,orange,congruent,upside_down,o,1,660.0
98,madisonherrmann,0.25,key,orange,red,incongruent,upright,r,1,921.0
99,madisonherrmann,0.25,key,red,yellow,incongruent,upside_down,y,1,1207.0
100,madisonherrmann,0.25,key,orange,orange,congruent,upright,o,1,675.0
101,madisonherrmann,0.25,key,orange,orange,congruent,upright,o,1,626.0
102,madisonherrmann,0.25,key,red,yellow,incongruent,upright,y,1,1045.0
103,madisonherrmann,0.25,key,blue,blue,congruent,upright,b,1,659.0
104,madisonherrmann,0.25,key,orange,orange,congruent,upright,o,1,597.0
105,madisonherrmann,0.25,key,green,green,congruent,upside_down,g,1,683.0
