trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,vilae,.25,key,orange,green,incongruent,upright,b,0,966.0
2,vilae,.25,key,yellow,yellow,congruent,upright,y,1,600.0
3,vilae,.25,key,blue,red,incongruent,upright,r,1,1040.0
4,vilae,.25,key,red,red,congruent,upright,r,1,515.0
5,vilae,.25,key,green,green,congruent,upright,g,1,617.0
6,vilae,.25,key,yellow,yellow,congruent,upside_down,y,1,672.0
7,vilae,.25,key,orange,green,incongruent,upside_down,o,0,768.0
8,vilae,.25,key,green,green,congruent,upright,g,1,496.0
9,vilae,.25,key,orange,orange,congruent,upright,o,1,576.0
10,vilae,.25,key,blue,green,incongruent,upside_down,NA,0,NA
11,vilae,.25,key,green,green,congruent,upside_down,g,1,751.0
12,vilae,.25,key,red,red,congruent,upright,r,1,495.0
13,vilae,.25,key,blue,blue,congruent,upright,b,1,537.0
14,vilae,.25,key,red,red,congruent,upside_down,r,1,415.0
15,vilae,.25,key,yellow,yellow,congruent,upright,y,1,570.0
16,vilae,.25,key,green,green,congruent,upside_down,y,0,300.0
17,vilae,.25,key,blue,red,incongruent,upright,b,0,548.0
18,vilae,.25,key,red,red,congruent,upside_down,r,1,1253.0
19,vilae,.25,key,yellow,green,incongruent,upright,y,0,549.0
20,vilae,.25,key,orange,orange,congruent,upright,o,1,505.0
21,vilae,.25,key,blue,orange,incongruent,upright,b,0,630.0
22,vilae,.25,key,red,red,congruent,upright,r,1,776.0
23,vilae,.25,key,yellow,yellow,congruent,upside_down,y,1,550.0
24,vilae,.25,key,green,orange,incongruent,upside_down,o,1,981.0
25,vilae,.25,key,orange,orange,congruent,upright,o,1,444.0
26,vilae,.25,key,orange,orange,congruent,upright,o,1,596.0
27,vilae,.25,key,yellow,yellow,congruent,upside_down,o,0,186.0
28,vilae,.25,key,red,yellow,incongruent,upside_down,r,0,1382.0
29,vilae,.25,key,blue,blue,congruent,upright,b,1,1353.0
30,vilae,.25,key,red,red,congruent,upside_down,r,1,571.0
31,vilae,.25,key,green,green,congruent,upright,g,1,708.0
32,vilae,.25,key,yellow,yellow,congruent,upside_down,y,1,550.0
33,vilae,.25,key,green,green,congruent,upside_down,g,1,872.0
34,vilae,.25,key,orange,orange,congruent,upright,o,1,542.0
35,vilae,.25,key,red,red,congruent,upright,r,1,501.0
36,vilae,.25,key,orange,orange,congruent,upside_down,o,1,519.0
37,vilae,.25,key,green,green,congruent,upside_down,g,1,623.0
38,vilae,.25,key,red,red,congruent,upright,r,1,497.0
39,vilae,.25,key,green,blue,incongruent,upside_down,y,0,979.0
40,vilae,.25,key,blue,blue,congruent,upside_down,b,1,608.0
41,vilae,.25,key,green,green,congruent,upside_down,g,1,558.0
42,vilae,.25,key,yellow,yellow,congruent,upright,y,1,525.0
43,vilae,.25,key,red,red,congruent,upside_down,r,1,533.0
44,vilae,.25,key,yellow,green,incongruent,upright,y,0,508.0
45,vilae,.25,key,orange,green,incongruent,upside_down,o,0,589.0
46,vilae,.25,key,red,orange,incongruent,upside_down,r,0,1127.0
47,vilae,.25,key,red,red,congruent,upside_down,r,1,589.0
48,vilae,.25,key,green,blue,incongruent,upside_down,y,0,1123.0
49,vilae,.25,key,yellow,yellow,congruent,upright,y,1,761.0
50,vilae,.25,key,red,red,congruent,upright,r,1,540.0
51,vilae,.25,key,red,red,congruent,upside_down,r,1,325.0
52,vilae,.25,key,blue,red,incongruent,upside_down,r,1,286.0
53,vilae,.25,key,blue,blue,congruent,upright,b,1,664.0
54,vilae,.25,key,green,blue,incongruent,upside_down,g,0,588.0
55,vilae,.25,key,yellow,green,incongruent,upright,y,0,552.0
56,vilae,.25,key,yellow,yellow,congruent,upright,y,1,530.0
57,vilae,.25,key,green,green,congruent,upright,g,1,648.0
58,vilae,.25,key,orange,orange,congruent,upside_down,o,1,614.0
59,vilae,.25,key,red,red,congruent,upright,r,1,508.0
60,vilae,.25,key,yellow,yellow,congruent,upside_down,y,1,565.0
61,vilae,.25,key,red,red,congruent,upside_down,r,1,724.0
62,vilae,.25,key,green,green,congruent,upside_down,g,1,539.0
63,vilae,.25,key,green,green,congruent,upside_down,g,1,1301.0
64,vilae,.25,key,green,green,congruent,upright,g,1,567.0
65,vilae,.25,key,red,blue,incongruent,upside_down,r,0,672.0
66,vilae,.25,key,blue,orange,incongruent,upright,b,0,1007.0
67,vilae,.25,key,orange,orange,congruent,upside_down,o,1,726.0
68,vilae,.25,key,yellow,yellow,congruent,upside_down,y,1,620.0
69,vilae,.25,key,red,red,congruent,upside_down,r,1,489.0
70,vilae,.25,key,yellow,blue,incongruent,upside_down,y,0,741.0
71,vilae,.25,key,orange,orange,congruent,upright,o,1,611.0
72,vilae,.25,key,green,green,congruent,upright,g,1,553.0
73,vilae,.25,key,red,blue,incongruent,upside_down,r,0,594.0
74,vilae,.25,key,blue,orange,incongruent,upright,b,0,1179.0
75,vilae,.25,key,blue,blue,congruent,upright,b,1,1323.0
76,vilae,.25,key,blue,orange,incongruent,upright,o,1,876.0
77,vilae,.25,key,yellow,yellow,congruent,upside_down,y,1,593.0
78,vilae,.25,key,green,green,congruent,upside_down,g,1,616.0
79,vilae,.25,key,orange,orange,congruent,upright,o,1,477.0
80,vilae,.25,key,orange,orange,congruent,upside_down,o,1,377.0
81,vilae,.25,key,red,green,incongruent,upright,g,1,921.0
82,vilae,.25,key,green,green,congruent,upside_down,g,1,685.0
83,vilae,.25,key,green,green,congruent,upright,g,1,416.0
84,vilae,.25,key,orange,orange,congruent,upright,o,1,832.0
85,vilae,.25,key,blue,blue,congruent,upside_down,b,1,713.0
86,vilae,.25,key,blue,blue,congruent,upright,b,1,628.0
87,vilae,.25,key,green,green,congruent,upside_down,g,1,602.0
88,vilae,.25,key,yellow,yellow,congruent,upright,y,1,724.0
89,vilae,.25,key,red,red,congruent,upside_down,r,1,757.0
90,vilae,.25,key,blue,orange,incongruent,upside_down,o,1,833.0
91,vilae,.25,key,blue,blue,congruent,upside_down,b,1,658.0
92,vilae,.25,key,yellow,yellow,congruent,upright,y,1,726.0
93,vilae,.25,key,red,red,congruent,upright,r,1,632.0
94,vilae,.25,key,blue,blue,congruent,upside_down,b,1,682.0
95,vilae,.25,key,blue,blue,congruent,upside_down,b,1,645.0
96,vilae,.25,key,red,red,congruent,upright,r,1,622.0
97,vilae,.25,key,red,red,congruent,upright,r,1,436.0
98,vilae,.25,key,orange,orange,congruent,upside_down,o,1,558.0
99,vilae,.25,key,blue,blue,congruent,upright,b,1,646.0
100,vilae,.25,key,red,red,congruent,upright,r,1,449.0
