trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,yihanwang,.25,key,blue,blue,congruent,upside_down,b,1,1189.0
2,yihanwang,.25,key,yellow,red,incongruent,upside_down,r,1,1400.0
3,yihanwang,.25,key,orange,orange,congruent,upside_down,o,1,941.0
4,yihanwang,.25,key,orange,red,incongruent,upside_down,r,1,1397.0
5,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,786.0
6,yihanwang,.25,key,orange,yellow,incongruent,upside_down,y,1,1527.0
7,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,587.0
8,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,742.0
9,yihanwang,.25,key,red,red,congruent,upside_down,r,1,958.0
10,yihanwang,.25,key,green,yellow,incongruent,upright,y,1,1152.0
11,yihanwang,.25,key,blue,blue,congruent,upside_down,b,1,772.0
12,yihanwang,.25,key,red,orange,incongruent,upright,o,1,1130.0
13,yihanwang,.25,key,green,green,congruent,upside_down,g,1,833.0
14,yihanwang,.25,key,red,red,congruent,upright,r,1,759.0
15,yihanwang,.25,key,green,green,congruent,upside_down,g,1,799.0
16,yihanwang,.25,key,blue,blue,congruent,upright,b,1,720.0
17,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,913.0
18,yihanwang,.25,key,orange,orange,congruent,upright,o,1,874.0
19,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,1316.0
20,yihanwang,.25,key,green,yellow,incongruent,upright,y,1,1088.0
21,yihanwang,.25,key,yellow,yellow,congruent,upside_down,y,1,803.0
22,yihanwang,.25,key,yellow,blue,incongruent,upside_down,b,1,1009.0
23,yihanwang,.25,key,orange,orange,congruent,upright,o,1,826.0
24,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,661.0
25,yihanwang,.25,key,orange,orange,congruent,upside_down,o,1,862.0
26,yihanwang,.25,key,orange,orange,congruent,upright,o,1,799.0
27,yihanwang,.25,key,orange,orange,congruent,upright,o,1,758.0
28,yihanwang,.25,key,yellow,yellow,congruent,upside_down,y,1,804.0
29,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,575.0
30,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,596.0
31,yihanwang,.25,key,green,green,congruent,upright,g,1,714.0
32,yihanwang,.25,key,yellow,yellow,congruent,upright,y,1,915.0
33,yihanwang,.25,key,orange,green,incongruent,upside_down,g,1,1289.0
34,yihanwang,.25,key,orange,orange,congruent,upright,o,1,1010.0
35,yihanwang,.25,key,blue,blue,congruent,upside_down,b,1,803.0
36,yihanwang,.25,key,red,red,congruent,upright,r,1,1028.0
37,yihanwang,.25,key,green,green,congruent,upright,g,1,830.0
38,yihanwang,.25,key,red,red,congruent,upside_down,r,1,886.0
39,yihanwang,.25,key,green,blue,incongruent,upside_down,b,1,1134.0
40,yihanwang,.25,key,orange,orange,congruent,upside_down,o,1,814.0
41,yihanwang,.25,key,orange,orange,congruent,upside_down,o,1,940.0
42,yihanwang,.25,key,red,yellow,incongruent,upside_down,y,1,1376.0
43,yihanwang,.25,key,green,green,congruent,upright,g,1,706.0
44,yihanwang,.25,key,green,green,congruent,upside_down,g,1,651.0
45,yihanwang,.25,key,orange,orange,congruent,upside_down,o,1,1050.0
46,yihanwang,.25,key,blue,green,incongruent,upside_down,g,1,1179.0
47,yihanwang,.25,key,blue,blue,congruent,upside_down,b,1,822.0
48,yihanwang,.25,key,red,red,congruent,upright,r,1,914.0
49,yihanwang,.25,key,orange,orange,congruent,upright,o,1,1010.0
50,yihanwang,.25,key,green,green,congruent,upside_down,g,1,786.0
51,yihanwang,.25,key,yellow,green,incongruent,upright,y,0,822.0
52,yihanwang,.25,key,green,green,congruent,upright,g,1,785.0
53,yihanwang,.25,key,green,green,congruent,upside_down,g,1,704.0
