trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,zcherr,0.5,key,blue,yellow,incongruent,upside_down,y,1,815.0
2,zcherr,0.5,key,green,red,incongruent,upside_down,r,1,708.0
3,zcherr,0.5,key,yellow,yellow,congruent,upside_down,y,1,818.0
4,zcherr,0.5,key,red,red,congruent,upside_down,r,1,501.0
5,zcherr,0.5,key,red,orange,incongruent,upright,o,1,750.0
6,zcherr,0.5,key,yellow,red,incongruent,upside_down,r,1,629.0
7,zcherr,0.5,key,red,orange,incongruent,upright,o,1,636.0
8,zcherr,0.5,key,red,red,congruent,upside_down,r,1,492.0
9,zcherr,0.5,key,blue,blue,congruent,upside_down,b,1,571.0
10,zcherr,0.5,key,orange,blue,incongruent,upright,b,1,571.0
11,zcherr,0.5,key,yellow,yellow,congruent,upright,y,1,589.0
12,zcherr,0.5,key,orange,orange,congruent,upright,o,1,519.0
13,zcherr,0.5,key,blue,blue,congruent,upside_down,b,1,496.0
14,zcherr,0.5,key,green,green,congruent,upside_down,g,1,618.0
15,zcherr,0.5,key,blue,red,incongruent,upright,r,1,671.0
16,zcherr,0.5,key,orange,orange,congruent,upside_down,o,1,473.0
17,zcherr,0.5,key,red,yellow,incongruent,upright,y,1,809.0
18,zcherr,0.5,key,blue,green,incongruent,upright,g,1,682.0
19,zcherr,0.5,key,blue,blue,congruent,upright,b,1,605.0
20,zcherr,0.5,key,green,green,congruent,upright,g,1,557.0
21,zcherr,0.5,key,yellow,green,incongruent,upright,g,1,708.0
22,zcherr,0.5,key,orange,blue,incongruent,upright,b,1,565.0
23,zcherr,0.5,key,blue,blue,congruent,upside_down,b,1,530.0
24,zcherr,0.5,key,yellow,yellow,congruent,upright,y,1,608.0
25,zcherr,0.5,key,red,red,congruent,upright,r,1,488.0
26,zcherr,0.5,key,red,red,congruent,upside_down,r,1,515.0
27,zcherr,0.5,key,red,green,incongruent,upside_down,g,1,774.0
28,zcherr,0.5,key,green,yellow,incongruent,upside_down,y,1,653.0
29,zcherr,0.5,key,yellow,yellow,congruent,upside_down,y,1,596.0
30,zcherr,0.5,key,blue,blue,congruent,upside_down,b,1,511.0
31,zcherr,0.5,key,yellow,orange,incongruent,upside_down,o,1,617.0
32,zcherr,0.5,key,blue,green,incongruent,upright,g,1,680.0
33,zcherr,0.5,key,blue,yellow,incongruent,upright,y,1,624.0
34,zcherr,0.5,key,blue,blue,congruent,upright,b,1,603.0
35,zcherr,0.5,key,yellow,yellow,congruent,upside_down,y,1,601.0
36,zcherr,0.5,key,green,blue,incongruent,upside_down,g,0,622.0
37,zcherr,0.5,key,blue,blue,congruent,upright,b,1,539.0
38,zcherr,0.5,key,blue,blue,congruent,upside_down,b,1,483.0
39,zcherr,0.5,key,red,red,congruent,upside_down,r,1,575.0
40,zcherr,0.5,key,green,green,congruent,upright,g,1,533.0
41,zcherr,0.5,key,blue,orange,incongruent,upside_down,o,1,793.0
42,zcherr,0.5,key,orange,green,incongruent,upside_down,g,1,622.0
43,zcherr,0.5,key,green,green,congruent,upside_down,g,1,498.0
44,zcherr,0.5,key,green,green,congruent,upright,g,1,478.0
45,zcherr,0.5,key,blue,orange,incongruent,upside_down,o,1,754.0
46,zcherr,0.5,key,blue,red,incongruent,upside_down,r,1,778.0
47,zcherr,0.5,key,yellow,yellow,congruent,upside_down,y,1,624.0
48,zcherr,0.5,key,red,red,congruent,upside_down,r,1,528.0
49,zcherr,0.5,key,red,green,incongruent,upright,g,1,662.0
50,zcherr,0.5,key,orange,orange,congruent,upright,o,1,526.0
51,zcherr,0.5,key,red,blue,incongruent,upside_down,b,1,630.0
52,zcherr,0.5,key,yellow,green,incongruent,upright,g,1,679.0
53,zcherr,0.5,key,red,red,congruent,upright,r,1,817.0
54,zcherr,0.5,key,orange,orange,congruent,upright,o,1,596.0
55,zcherr,0.5,key,yellow,green,incongruent,upside_down,g,1,649.0
56,zcherr,0.5,key,green,blue,incongruent,upside_down,b,1,680.0
57,zcherr,0.5,key,yellow,yellow,congruent,upright,y,1,682.0
58,zcherr,0.5,key,orange,orange,congruent,upright,o,1,571.0
59,zcherr,0.5,key,orange,red,incongruent,upside_down,g,0,630.0
60,zcherr,0.5,key,green,green,congruent,upright,g,1,550.0
61,zcherr,0.5,key,blue,green,incongruent,upside_down,g,1,607.0
62,zcherr,0.5,key,green,green,congruent,upright,g,1,566.0
63,zcherr,0.5,key,green,yellow,incongruent,upright,y,1,710.0
