trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,zdspangler,0.25,key,yellow,yellow,congruent,upside_down,y,1,818.0
2,zdspangler,0.25,key,orange,orange,congruent,upside_down,o,1,602.0
3,zdspangler,0.25,key,orange,orange,congruent,upside_down,o,1,597.0
4,zdspangler,0.25,key,blue,orange,incongruent,upright,o,1,872.0
5,zdspangler,0.25,key,yellow,yellow,congruent,upside_down,y,1,788.0
6,zdspangler,0.25,key,yellow,yellow,congruent,upright,y,1,743.0
7,zdspangler,0.25,key,orange,orange,congruent,upside_down,o,1,517.0
8,zdspangler,0.25,key,blue,blue,congruent,upright,b,1,644.0
9,zdspangler,0.25,key,green,yellow,incongruent,upright,y,1,1095.0
10,zdspangler,0.25,key,blue,green,incongruent,upside_down,g,1,779.0
11,zdspangler,0.25,key,blue,blue,congruent,upside_down,b,1,637.0
12,zdspangler,0.25,key,green,green,congruent,upside_down,g,1,571.0
13,zdspangler,0.25,key,orange,blue,incongruent,upside_down,b,1,767.0
14,zdspangler,0.25,key,green,red,incongruent,upside_down,r,1,805.0
15,zdspangler,0.25,key,orange,orange,congruent,upright,o,1,666.0
16,zdspangler,0.25,key,yellow,red,incongruent,upside_down,r,1,820.0
17,zdspangler,0.25,key,green,green,congruent,upright,g,1,693.0
18,zdspangler,0.25,key,red,orange,incongruent,upright,o,1,694.0
19,zdspangler,0.25,key,green,green,congruent,upside_down,g,1,644.0
20,zdspangler,0.25,key,red,red,congruent,upside_down,r,1,496.0
21,zdspangler,0.25,key,orange,orange,congruent,upright,o,1,651.0
22,zdspangler,0.25,key,yellow,yellow,congruent,upright,y,1,718.0
23,zdspangler,0.25,key,blue,blue,congruent,upright,b,1,497.0
24,zdspangler,0.25,key,orange,orange,congruent,upside_down,o,1,504.0
25,zdspangler,0.25,key,red,red,congruent,upside_down,r,1,632.0
26,zdspangler,0.25,key,green,green,congruent,upright,g,1,702.0
27,zdspangler,0.25,key,green,green,congruent,upside_down,g,1,597.0
28,zdspangler,0.25,key,red,green,incongruent,upside_down,g,1,831.0
29,zdspangler,0.25,key,green,yellow,incongruent,upside_down,y,1,977.0
