trial_num,subj_code,prop_incongruent,response_type,word,color,trial_type,orientation,response,is_correct,RT
1,zli2545,0.25,key,green,green,congruent,upside_down,g,1,780.0
2,zli2545,0.25,key,yellow,yellow,congruent,upright,y,1,717.0
3,zli2545,0.25,key,green,green,congruent,upside_down,g,1,614.0
4,zli2545,0.25,key,blue,blue,congruent,upside_down,b,1,1004.0
5,zli2545,0.25,key,red,red,congruent,upside_down,r,1,785.0
6,zli2545,0.25,key,blue,blue,congruent,upside_down,b,1,665.0
7,zli2545,0.25,key,yellow,green,incongruent,upside_down,g,1,841.0
8,zli2545,0.25,key,blue,blue,congruent,upright,b,1,624.0
9,zli2545,0.25,key,green,green,congruent,upright,g,1,705.0
10,zli2545,0.25,key,green,green,congruent,upside_down,g,1,587.0
11,zli2545,0.25,key,green,green,congruent,upside_down,g,1,606.0
12,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,771.0
13,zli2545,0.25,key,orange,orange,congruent,upright,o,1,522.0
14,zli2545,0.25,key,orange,orange,congruent,upright,o,1,591.0
15,zli2545,0.25,key,blue,blue,congruent,upside_down,b,1,625.0
16,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,487.0
17,zli2545,0.25,key,green,green,congruent,upside_down,g,1,524.0
18,zli2545,0.25,key,blue,blue,congruent,upside_down,b,1,592.0
19,zli2545,0.25,key,orange,orange,congruent,upright,o,1,563.0
20,zli2545,0.25,key,orange,orange,congruent,upright,o,1,583.0
21,zli2545,0.25,key,orange,orange,congruent,upright,o,1,573.0
22,zli2545,0.25,key,blue,yellow,incongruent,upside_down,y,1,834.0
23,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,647.0
24,zli2545,0.25,key,red,red,congruent,upright,r,1,593.0
25,zli2545,0.25,key,blue,blue,congruent,upright,b,1,614.0
26,zli2545,0.25,key,blue,blue,congruent,upright,b,1,477.0
27,zli2545,0.25,key,yellow,yellow,congruent,upright,y,1,631.0
28,zli2545,0.25,key,green,blue,incongruent,upright,b,1,631.0
29,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,558.0
30,zli2545,0.25,key,blue,orange,incongruent,upright,o,1,715.0
31,zli2545,0.25,key,orange,yellow,incongruent,upright,y,1,668.0
32,zli2545,0.25,key,green,green,congruent,upright,g,1,529.0
33,zli2545,0.25,key,blue,blue,congruent,upright,b,1,584.0
34,zli2545,0.25,key,orange,orange,congruent,upright,o,1,512.0
35,zli2545,0.25,key,yellow,blue,incongruent,upside_down,b,1,702.0
36,zli2545,0.25,key,blue,green,incongruent,upside_down,g,1,636.0
37,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,586.0
38,zli2545,0.25,key,red,red,congruent,upright,r,1,523.0
39,zli2545,0.25,key,orange,red,incongruent,upside_down,r,1,694.0
40,zli2545,0.25,key,orange,yellow,incongruent,upright,o,0,707.0
41,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,585.0
42,zli2545,0.25,key,orange,orange,congruent,upright,o,1,542.0
43,zli2545,0.25,key,blue,orange,incongruent,upside_down,o,1,732.0
44,zli2545,0.25,key,yellow,blue,incongruent,upright,b,1,742.0
45,zli2545,0.25,key,blue,red,incongruent,upside_down,r,1,573.0
46,zli2545,0.25,key,red,red,congruent,upside_down,r,1,620.0
47,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,594.0
48,zli2545,0.25,key,green,green,congruent,upright,g,1,550.0
49,zli2545,0.25,key,blue,orange,incongruent,upright,o,1,750.0
50,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,541.0
51,zli2545,0.25,key,red,green,incongruent,upside_down,g,1,648.0
52,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,596.0
53,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,541.0
54,zli2545,0.25,key,yellow,blue,incongruent,upside_down,b,1,628.0
55,zli2545,0.25,key,orange,orange,congruent,upright,o,1,609.0
56,zli2545,0.25,key,blue,green,incongruent,upside_down,b,0,665.0
57,zli2545,0.25,key,green,green,congruent,upright,g,1,605.0
58,zli2545,0.25,key,orange,orange,congruent,upright,o,1,583.0
59,zli2545,0.25,key,orange,orange,congruent,upright,o,1,601.0
60,zli2545,0.25,key,red,red,congruent,upside_down,r,1,561.0
61,zli2545,0.25,key,green,orange,incongruent,upside_down,o,1,687.0
62,zli2545,0.25,key,red,red,congruent,upright,r,1,610.0
63,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,567.0
64,zli2545,0.25,key,red,orange,incongruent,upside_down,o,1,736.0
65,zli2545,0.25,key,orange,yellow,incongruent,upright,y,1,643.0
66,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,544.0
67,zli2545,0.25,key,blue,red,incongruent,upside_down,r,1,655.0
68,zli2545,0.25,key,red,orange,incongruent,upright,o,1,616.0
69,zli2545,0.25,key,blue,blue,congruent,upright,b,1,564.0
70,zli2545,0.25,key,blue,blue,congruent,upright,b,1,526.0
71,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,564.0
72,zli2545,0.25,key,orange,green,incongruent,upside_down,g,1,626.0
73,zli2545,0.25,key,green,green,congruent,upside_down,g,1,453.0
74,zli2545,0.25,key,red,red,congruent,upside_down,r,1,548.0
75,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,666.0
76,zli2545,0.25,key,red,red,congruent,upside_down,r,1,670.0
77,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,592.0
78,zli2545,0.25,key,orange,orange,congruent,upright,o,1,547.0
79,zli2545,0.25,key,orange,orange,congruent,upright,o,1,499.0
80,zli2545,0.25,key,blue,blue,congruent,upside_down,b,1,687.0
81,zli2545,0.25,key,red,red,congruent,upright,r,1,792.0
82,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,569.0
83,zli2545,0.25,key,orange,orange,congruent,upright,o,1,525.0
84,zli2545,0.25,key,yellow,yellow,congruent,upside_down,y,1,593.0
85,zli2545,0.25,key,red,orange,incongruent,upside_down,o,1,761.0
86,zli2545,0.25,key,blue,blue,congruent,upright,b,1,606.0
87,zli2545,0.25,key,orange,orange,congruent,upside_down,o,1,526.0
88,zli2545,0.25,key,blue,blue,congruent,upright,b,1,535.0
89,zli2545,0.25,key,yellow,green,incongruent,upright,g,1,688.0
90,zli2545,0.25,key,green,green,congruent,upright,g,1,501.0
91,zli2545,0.25,key,green,green,congruent,upright,g,1,439.0
92,zli2545,0.25,key,red,red,congruent,upright,r,1,583.0
93,zli2545,0.25,key,orange,orange,congruent,upright,o,1,538.0
94,zli2545,0.25,key,red,red,congruent,upside_down,r,1,569.0
